model_label	integration	ROC_AUC	accuracy	balanced_accuracy	F1_LUAD	F1_LUSC	macro_F1
Early fusion + Elastic Net	Early fusion	0.9894724897876847	0.9594356261022927	0.9562320338897574	0.9643410852713178	0.952965235173824	0.958653160222571
DNA methylation + Random Forest	Single omics	0.9977936355842453	0.9841269841269841	0.9837107267133995	0.985781990521327	0.9820359281437127	0.9839089593325199
mRNA + Elastic Net	Single omics	0.9895985677542992	0.9506172839506173	0.9479108880931968	0.956386292834891	0.9430894308943089	0.9497378618646
mRNA + Random Forest	Single omics	0.9882999646981694	0.9559082892416225	0.9526577235362348	0.9612403100775193	0.9488752556237218	0.9550577828506206
DNA methylation + Elastic Net	Single omics	0.9844419789197639	0.9594356261022927	0.9558222804982601	0.964451313755796	0.9527720739219713	0.9586116938388836
RPPA + Elastic Net	Single omics	0.97453225074386	0.9382716049382716	0.9347861717686217	0.9457364341085271	0.9284253578732106	0.9370808959908689
RPPA + Random Forest	Single omics	0.9666902012204347	0.9065255731922398	0.9009783650209289	0.9188361408882083	0.8898128898128898	0.904324515350549
DIABLO multiblock sPLS-DA	DIABLO	0.9688209188562207	0.9312169312169312	0.9243595239295981	0.9409984871406959	0.9175475687103593	0.9292730279255276
