batch_variable	batch_value	subtype	n
TISSUE_SOURCE_SITE	Thoraxklinik at University Hospital Heidelberg	LUAD	9
TISSUE_SOURCE_SITE	Thoraxklinik at University Hospital Heidelberg	LUSC	10
TISSUE_SOURCE_SITE	UNC	LUAD	2
TISSUE_SOURCE_SITE	University of Miami	LUAD	4
TISSUE_SOURCE_SITE	University of Miami	LUSC	3
TISSUE_SOURCE_SITE	University of Minnesota	LUSC	1
TISSUE_SOURCE_SITE	University of Pittsburgh	LUAD	29
TISSUE_SOURCE_SITE	University of Pittsburgh	LUSC	14
TISSUE_SOURCE_SITE	Washington University - Alabama	LUAD	2
TISSUE_SOURCE_SITE	Washington University - Alabama	LUSC	8
TISSUE_SOURCE_SITE	Washington University - CALGB	LUAD	1
TISSUE_SOURCE_SITE	Washington University - CALGB	LUSC	4
TISSUE_SOURCE_SITE	Washington University - CHUV	LUSC	14
TISSUE_SOURCE_SITE	Washington University - Cleveland Clinic	LUAD	7
TISSUE_SOURCE_SITE	Washington University - Cleveland Clinic	LUSC	4
TISSUE_SOURCE_SITE	Washington University - Emory	LUAD	9
TISSUE_SOURCE_SITE	Washington University - Emory	LUSC	9
TISSUE_SOURCE_SITE	Washington University - Mayo Clinic	LUAD	18
TISSUE_SOURCE_SITE	Washington University - NYU	LUAD	13
TISSUE_SOURCE_SITE	Washington University - NYU	LUSC	2
TISSUE_SOURCE_SITE	Washington University - Rush University	LUAD	7
TISSUE_SOURCE_SITE	Washington University - Rush University	LUSC	3
TISSUE_SOURCE_SITE	Washington University - St. Louis	LUAD	5
TISSUE_SOURCE_SITE	Washington University - St. Louis	LUSC	1
TCGA_TSS	05	LUAD	10
TCGA_TSS	18	LUSC	2
TCGA_TSS	21	LUSC	4
TCGA_TSS	22	LUSC	17
TCGA_TSS	33	LUSC	11
TCGA_TSS	34	LUSC	14
TCGA_TSS	35	LUAD	1
TCGA_TSS	37	LUSC	3
TCGA_TSS	38	LUAD	2
TCGA_TSS	39	LUSC	15
TCGA_TSS	43	LUSC	12
TCGA_TSS	44	LUAD	33
TCGA_TSS	46	LUSC	2
TCGA_TSS	49	LUAD	20
TCGA_TSS	4B	LUAD	1
TCGA_TSS	50	LUAD	29
TCGA_TSS	52	LUSC	3
TCGA_TSS	53	LUAD	4
TCGA_TSS	55	LUAD	21
TCGA_TSS	56	LUSC	11
TCGA_TSS	58	LUSC	10
TCGA_TSS	60	LUSC	4
TCGA_TSS	62	LUAD	9
TCGA_TSS	63	LUSC	20
TCGA_TSS	64	LUAD	7
TCGA_TSS	67	LUAD	3
TCGA_TSS	68	LUSC	4
TCGA_TSS	69	LUAD	7
TCGA_TSS	70	LUSC	2
TCGA_TSS	71	LUAD	2
TCGA_TSS	73	LUAD	5
TCGA_TSS	75	LUAD	12
TCGA_TSS	77	LUSC	22
TCGA_TSS	78	LUAD	28
TCGA_TSS	79	LUSC	1
TCGA_TSS	80	LUAD	3
TCGA_TSS	83	LUAD	1
TCGA_TSS	85	LUSC	41
TCGA_TSS	86	LUAD	31
TCGA_TSS	90	LUSC	7
TCGA_TSS	91	LUAD	16
TCGA_TSS	92	LUSC	1
TCGA_TSS	93	LUAD	5
TCGA_TSS	94	LUSC	9
TCGA_TSS	95	LUAD	9
TCGA_TSS	96	LUSC	2
TCGA_TSS	97	LUAD	13
TCGA_TSS	98	LUSC	8
TCGA_TSS	99	LUAD	2
TCGA_TSS	J2	LUAD	4
TCGA_TSS	L3	LUSC	2
TCGA_TSS	L4	LUAD	2
TCGA_TSS	L9	LUAD	7
TCGA_TSS	LA	LUSC	2
TCGA_TSS	MF	LUSC	1
TCGA_TSS	MN	LUAD	2
TCGA_TSS	MP	LUAD	18
TCGA_TSS	NC	LUSC	14
TCGA_TSS	NJ	LUAD	7
TCGA_TSS	NK	LUSC	3
TCGA_TSS	O1	LUAD	1
TCGA_TSS	O2	LUSC	4
TCGA_TSS	S2	LUAD	1
