layer	PC	percent_variance
mRNA	PC307	0.05
mRNA	PC308	0.05
mRNA	PC309	0.05
mRNA	PC310	0.05
mRNA	PC311	0.05
mRNA	PC312	0.05
mRNA	PC313	0.05
mRNA	PC314	0.05
mRNA	PC315	0.05
mRNA	PC316	0.05
mRNA	PC317	0.05
mRNA	PC318	0.05
mRNA	PC319	0.05
mRNA	PC320	0.05
mRNA	PC321	0.05
mRNA	PC322	0.05
mRNA	PC323	0.04
mRNA	PC324	0.04
mRNA	PC325	0.04
mRNA	PC326	0.04
mRNA	PC327	0.04
mRNA	PC328	0.04
mRNA	PC329	0.04
mRNA	PC330	0.04
mRNA	PC331	0.04
mRNA	PC332	0.04
mRNA	PC333	0.04
mRNA	PC334	0.04
mRNA	PC335	0.04
mRNA	PC336	0.04
mRNA	PC337	0.04
mRNA	PC338	0.04
mRNA	PC339	0.04
mRNA	PC340	0.04
mRNA	PC341	0.04
mRNA	PC342	0.04
mRNA	PC343	0.04
mRNA	PC344	0.04
mRNA	PC345	0.04
mRNA	PC346	0.04
mRNA	PC347	0.04
mRNA	PC348	0.04
mRNA	PC349	0.04
mRNA	PC350	0.04
mRNA	PC351	0.04
mRNA	PC352	0.04
mRNA	PC353	0.04
mRNA	PC354	0.04
mRNA	PC355	0.04
mRNA	PC356	0.04
mRNA	PC357	0.04
mRNA	PC358	0.04
mRNA	PC359	0.04
mRNA	PC360	0.04
mRNA	PC361	0.04
mRNA	PC362	0.04
mRNA	PC363	0.04
mRNA	PC364	0.04
mRNA	PC365	0.04
mRNA	PC366	0.03
mRNA	PC367	0.03
mRNA	PC368	0.03
mRNA	PC369	0.03
mRNA	PC370	0.03
mRNA	PC371	0.03
mRNA	PC372	0.03
mRNA	PC373	0.03
mRNA	PC374	0.03
mRNA	PC375	0.03
mRNA	PC376	0.03
mRNA	PC377	0.03
mRNA	PC378	0.03
mRNA	PC379	0.03
mRNA	PC380	0.03
mRNA	PC381	0.03
mRNA	PC382	0.03
mRNA	PC383	0.03
mRNA	PC384	0.03
mRNA	PC385	0.03
mRNA	PC386	0.03
mRNA	PC387	0.03
mRNA	PC388	0.03
mRNA	PC389	0.03
mRNA	PC390	0.03
mRNA	PC391	0.03
mRNA	PC392	0.03
mRNA	PC393	0.03
mRNA	PC394	0.03
mRNA	PC395	0.03
mRNA	PC396	0.03
mRNA	PC397	0.03
mRNA	PC398	0.03
mRNA	PC399	0.03
mRNA	PC400	0.03
mRNA	PC401	0.03
mRNA	PC402	0.03
mRNA	PC403	0.03
mRNA	PC404	0.03
mRNA	PC405	0.03
mRNA	PC406	0.03
mRNA	PC407	0.03
mRNA	PC408	0.03
mRNA	PC409	0.03
mRNA	PC410	0.03
mRNA	PC411	0.03
mRNA	PC412	0.03
mRNA	PC413	0.03
mRNA	PC414	0.03
mRNA	PC415	0.03
mRNA	PC416	0.03
mRNA	PC417	0.03
mRNA	PC418	0.02
mRNA	PC419	0.02
mRNA	PC420	0.02
mRNA	PC421	0.02
mRNA	PC422	0.02
mRNA	PC423	0.02
mRNA	PC424	0.02
mRNA	PC425	0.02
mRNA	PC426	0.02
mRNA	PC427	0.02
mRNA	PC428	0.02
mRNA	PC429	0.02
mRNA	PC430	0.02
mRNA	PC431	0.02
mRNA	PC432	0.02
mRNA	PC433	0.02
mRNA	PC434	0.02
mRNA	PC435	0.02
mRNA	PC436	0.02
mRNA	PC437	0.02
mRNA	PC438	0.02
mRNA	PC439	0.02
mRNA	PC440	0.02
mRNA	PC441	0.02
mRNA	PC442	0.02
mRNA	PC443	0.02
mRNA	PC444	0.02
mRNA	PC445	0.02
mRNA	PC446	0.02
mRNA	PC447	0.02
mRNA	PC448	0.02
mRNA	PC449	0.02
mRNA	PC450	0.02
mRNA	PC451	0.02
mRNA	PC452	0.02
mRNA	PC453	0.02
mRNA	PC454	0.02
mRNA	PC455	0.02
mRNA	PC456	0.02
mRNA	PC457	0.02
mRNA	PC458	0.02
mRNA	PC459	0.02
mRNA	PC460	0.02
mRNA	PC461	0.02
mRNA	PC462	0.02
mRNA	PC463	0.02
mRNA	PC464	0.02
mRNA	PC465	0.02
mRNA	PC466	0.02
mRNA	PC467	0.02
mRNA	PC468	0.02
mRNA	PC469	0.02
mRNA	PC470	0.02
mRNA	PC471	0.02
mRNA	PC472	0.02
mRNA	PC473	0.02
mRNA	PC474	0.02
mRNA	PC475	0.02
mRNA	PC476	0.02
mRNA	PC477	0.02
mRNA	PC478	0.02
mRNA	PC479	0.02
mRNA	PC480	0.02
mRNA	PC481	0.02
mRNA	PC482	0.02
mRNA	PC483	0.02
mRNA	PC484	0.02
mRNA	PC485	0.02
mRNA	PC486	0.02
mRNA	PC487	0.02
mRNA	PC488	0.02
mRNA	PC489	0.01
mRNA	PC490	0.01
mRNA	PC491	0.01
mRNA	PC492	0.01
mRNA	PC493	0.01
mRNA	PC494	0.01
mRNA	PC495	0.01
mRNA	PC496	0.01
mRNA	PC497	0.01
mRNA	PC498	0.01
mRNA	PC499	0.01
mRNA	PC500	0.01
mRNA	PC501	0.01
mRNA	PC502	0.01
mRNA	PC503	0.01
mRNA	PC504	0.01
mRNA	PC505	0.01
mRNA	PC506	0.01
mRNA	PC507	0.01
mRNA	PC508	0.01
mRNA	PC509	0.01
mRNA	PC510	0.01
mRNA	PC511	0.01
mRNA	PC512	0.01
mRNA	PC513	0.01
mRNA	PC514	0.01
mRNA	PC515	0.01
mRNA	PC516	0.01
mRNA	PC517	0.01
mRNA	PC518	0.01
mRNA	PC519	0.01
mRNA	PC520	0.01
mRNA	PC521	0.01
mRNA	PC522	0.01
mRNA	PC523	0.01
mRNA	PC524	0.01
mRNA	PC525	0.01
mRNA	PC526	0.01
mRNA	PC527	0.01
mRNA	PC528	0.01
mRNA	PC529	0.01
mRNA	PC530	0.01
mRNA	PC531	0.01
mRNA	PC532	0.01
mRNA	PC533	0.01
mRNA	PC534	0.01
mRNA	PC535	0.01
mRNA	PC536	0.01
mRNA	PC537	0.01
mRNA	PC538	0.01
mRNA	PC539	0.01
mRNA	PC540	0.01
mRNA	PC541	0.01
mRNA	PC542	0.01
mRNA	PC543	0.01
mRNA	PC544	0.01
mRNA	PC545	0.01
mRNA	PC546	0.01
mRNA	PC547	0.01
mRNA	PC548	0.01
mRNA	PC549	0.01
mRNA	PC550	0.01
mRNA	PC551	0.01
mRNA	PC552	0.01
mRNA	PC553	0.01
mRNA	PC554	0.01
mRNA	PC555	0.01
mRNA	PC556	0.01
mRNA	PC557	0.01
mRNA	PC558	0.01
mRNA	PC559	0.01
mRNA	PC560	0.01
mRNA	PC561	0.01
mRNA	PC562	0.01
mRNA	PC563	0.01
mRNA	PC564	0.01
mRNA	PC565	0.01
mRNA	PC566	0
mRNA	PC567	0
DNA methylation	PC1	20.86
DNA methylation	PC2	11.1
DNA methylation	PC3	7.06
DNA methylation	PC4	5.83
DNA methylation	PC5	3.43
DNA methylation	PC6	2.36
DNA methylation	PC7	1.54
DNA methylation	PC8	1.15
DNA methylation	PC9	1.06
DNA methylation	PC10	0.91
DNA methylation	PC11	0.87
DNA methylation	PC12	0.71
DNA methylation	PC13	0.67
DNA methylation	PC14	0.62
DNA methylation	PC15	0.58
DNA methylation	PC16	0.55
DNA methylation	PC17	0.48
DNA methylation	PC18	0.44
DNA methylation	PC19	0.42
DNA methylation	PC20	0.4
DNA methylation	PC21	0.37
DNA methylation	PC22	0.35
DNA methylation	PC23	0.35
DNA methylation	PC24	0.34
DNA methylation	PC25	0.33
DNA methylation	PC26	0.31
DNA methylation	PC27	0.3
DNA methylation	PC28	0.3
DNA methylation	PC29	0.29
DNA methylation	PC30	0.28
DNA methylation	PC31	0.27
DNA methylation	PC32	0.27
DNA methylation	PC33	0.26
DNA methylation	PC34	0.26
DNA methylation	PC35	0.25
DNA methylation	PC36	0.25
DNA methylation	PC37	0.24
DNA methylation	PC38	0.24
DNA methylation	PC39	0.23
DNA methylation	PC40	0.22
