fused_feature	layer	original_feature	fold
METH__WNT6.8	DNA methylation	WNT6.8	2
METH__feature_85010	DNA methylation	feature_85010	2
METH__feature_376394	DNA methylation	feature_376394	2
METH__SOSTDC1.2	DNA methylation	SOSTDC1.2	2
METH__HIST1H3C.4	DNA methylation	HIST1H3C.4	2
METH__HOXD4	DNA methylation	HOXD4	2
METH__PLEKHM3.17	DNA methylation	PLEKHM3.17	2
METH__feature_127360	DNA methylation	feature_127360	2
METH__CACNA1H.77	DNA methylation	CACNA1H.77	2
METH__CACNA1A.32	DNA methylation	CACNA1A.32	2
METH__feature_98954	DNA methylation	feature_98954	2
METH__ADCY4.11	DNA methylation	ADCY4.11	2
METH__feature_222004	DNA methylation	feature_222004	2
METH__feature_286672	DNA methylation	feature_286672	2
METH__feature_15611	DNA methylation	feature_15611	2
METH__UNC13A.31	DNA methylation	UNC13A.31	2
METH__CCDC151.1	DNA methylation	CCDC151.1	2
METH__PCDHGA10;PCDHGB1;PCDHGB3;PCDHGB2;PCDHGA8;PCDHGA9;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5.11	DNA methylation	PCDHGA10;PCDHGB1;PCDHGB3;PCDHGB2;PCDHGA8;PCDHGA9;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5.11	2
METH__DCAF12L1.12	DNA methylation	DCAF12L1.12	2
METH__feature_59654	DNA methylation	feature_59654	2
METH__SYN1.6	DNA methylation	SYN1.6	2
METH__C11orf75.2	DNA methylation	C11orf75.2	2
METH__HIST1H3F;HIST1H2BH.3	DNA methylation	HIST1H3F;HIST1H2BH.3	2
METH__NXPH4.5	DNA methylation	NXPH4.5	2
METH__GPR50.10	DNA methylation	GPR50.10	2
METH__CRB2.19	DNA methylation	CRB2.19	2
METH__GIPC2.1	DNA methylation	GIPC2.1	2
METH__HIST1H2AA;HIST1H2BA.10	DNA methylation	HIST1H2AA;HIST1H2BA.10	2
METH__ZNF135.5	DNA methylation	ZNF135.5	2
METH__MYT1L.125	DNA methylation	MYT1L.125	2
METH__SLC1A3.11	DNA methylation	SLC1A3.11	2
METH__LOC387646.5	DNA methylation	LOC387646.5	2
METH__feature_258462	DNA methylation	feature_258462	2
METH__feature_341133	DNA methylation	feature_341133	2
METH__NTRK1;INSRR.14	DNA methylation	NTRK1;INSRR.14	2
METH__MYO1G.3	DNA methylation	MYO1G.3	2
METH__feature_33030	DNA methylation	feature_33030	2
METH__NPTX2.8	DNA methylation	NPTX2.8	2
METH__TSC22D4.3	DNA methylation	TSC22D4.3	2
METH__HOXB6;LOC404266.7	DNA methylation	HOXB6;LOC404266.7	2
METH__MAGI1.12	DNA methylation	MAGI1.12	2
METH__feature_54456	DNA methylation	feature_54456	2
METH__feature_326341	DNA methylation	feature_326341	2
METH__RASA3.213	DNA methylation	RASA3.213	2
METH__TDRD5.4	DNA methylation	TDRD5.4	2
METH__feature_197214	DNA methylation	feature_197214	2
METH__FUT9.9	DNA methylation	FUT9.9	2
METH__KNDC1.40	DNA methylation	KNDC1.40	2
METH__FAM181B.9	DNA methylation	FAM181B.9	2
METH__NBLA00301;HAND2.14	DNA methylation	NBLA00301;HAND2.14	2
METH__feature_338856	DNA methylation	feature_338856	2
METH__NRXN2.76	DNA methylation	NRXN2.76	2
METH__feature_268518	DNA methylation	feature_268518	2
METH__QRFPR.6	DNA methylation	QRFPR.6	2
METH__feature_190287	DNA methylation	feature_190287	2
METH__COL6A1.9	DNA methylation	COL6A1.9	2
METH__GCK.10	DNA methylation	GCK.10	2
METH__MIR205HG.1	DNA methylation	MIR205HG.1	2
METH__CACNA1A.33	DNA methylation	CACNA1A.33	2
METH__DCAF12L2.4	DNA methylation	DCAF12L2.4	2
METH__feature_132790	DNA methylation	feature_132790	2
METH__feature_52558	DNA methylation	feature_52558	2
METH__SHISA9.16	DNA methylation	SHISA9.16	2
METH__LAMB1.28	DNA methylation	LAMB1.28	2
METH__SFRP5.16	DNA methylation	SFRP5.16	2
METH__WDR64.2	DNA methylation	WDR64.2	2
METH__CSMD2;C1orf94	DNA methylation	CSMD2;C1orf94	2
METH__feature_264745	DNA methylation	feature_264745	2
METH__feature_324615	DNA methylation	feature_324615	2
METH__ZIK1.6	DNA methylation	ZIK1.6	2
METH__HDAC4.176	DNA methylation	HDAC4.176	2
METH__C17orf104.2	DNA methylation	C17orf104.2	2
METH__RIMS2.23	DNA methylation	RIMS2.23	2
METH__feature_298714	DNA methylation	feature_298714	2
METH__feature_92777	DNA methylation	feature_92777	2
METH__GRASP.4	DNA methylation	GRASP.4	2
METH__MUC5B.35	DNA methylation	MUC5B.35	2
METH__feature_303908	DNA methylation	feature_303908	2
METH__feature_68018	DNA methylation	feature_68018	2
METH__TJP2.1	DNA methylation	TJP2.1	2
METH__C1orf114	DNA methylation	C1orf114	2
METH__RALGAPA2.8	DNA methylation	RALGAPA2.8	2
METH__LPP.55	DNA methylation	LPP.55	2
METH__ACTN2.9	DNA methylation	ACTN2.9	2
METH__GFPT2.19	DNA methylation	GFPT2.19	2
METH__ZNF154.6	DNA methylation	ZNF154.6	2
METH__feature_36011	DNA methylation	feature_36011	2
METH__C2orf74.7	DNA methylation	C2orf74.7	2
METH__PTPRN.5	DNA methylation	PTPRN.5	2
METH__feature_344909	DNA methylation	feature_344909	2
METH__RGPD8;RGPD5.4	DNA methylation	RGPD8;RGPD5.4	2
METH__MIR205HG;MIR205	DNA methylation	MIR205HG;MIR205	2
METH__feature_88615	DNA methylation	feature_88615	2
METH__MMP23B;MMP23A.2	DNA methylation	MMP23B;MMP23A.2	2
METH__BEX1.9	DNA methylation	BEX1.9	2
METH__feature_369664	DNA methylation	feature_369664	2
METH__PTPRN2.236	DNA methylation	PTPRN2.236	2
METH__feature_329906	DNA methylation	feature_329906	2
METH__MFHAS1.11	DNA methylation	MFHAS1.11	2
METH__GDF6.10	DNA methylation	GDF6.10	2
METH__KNDC1.55	DNA methylation	KNDC1.55	2
METH__BCOR.88	DNA methylation	BCOR.88	2
METH__PDK3.8	DNA methylation	PDK3.8	2
METH__TTC12.8	DNA methylation	TTC12.8	2
METH__FLJ30058.18	DNA methylation	FLJ30058.18	2
METH__SYT1.6	DNA methylation	SYT1.6	2
METH__feature_54602	DNA methylation	feature_54602	2
METH__GPR123.35	DNA methylation	GPR123.35	2
METH__feature_18081	DNA methylation	feature_18081	2
METH__feature_41615	DNA methylation	feature_41615	2
METH__MOSPD2;FANCB.2	DNA methylation	MOSPD2;FANCB.2	2
METH__feature_306856	DNA methylation	feature_306856	2
METH__ZNF781.6	DNA methylation	ZNF781.6	2
METH__feature_1429	DNA methylation	feature_1429	2
METH__HTR4.7	DNA methylation	HTR4.7	2
METH__TNXB.125	DNA methylation	TNXB.125	2
METH__XRCC3.19	DNA methylation	XRCC3.19	2
METH__ZIC1.6	DNA methylation	ZIC1.6	2
METH__feature_362624	DNA methylation	feature_362624	2
METH__PRICKLE3	DNA methylation	PRICKLE3	2
METH__feature_238746	DNA methylation	feature_238746	2
METH__CHGA.7	DNA methylation	CHGA.7	2
METH__HOXC5;HOXC4;HOXC6.9	DNA methylation	HOXC5;HOXC4;HOXC6.9	2
METH__AGRN.2	DNA methylation	AGRN.2	2
METH__GPR135.10	DNA methylation	GPR135.10	2
METH__MRPS15.6	DNA methylation	MRPS15.6	2
METH__feature_175469	DNA methylation	feature_175469	2
METH__CPSF4L.1	DNA methylation	CPSF4L.1	2
METH__DOC2A.3	DNA methylation	DOC2A.3	2
METH__CACNA1C.69	DNA methylation	CACNA1C.69	2
METH__feature_351234	DNA methylation	feature_351234	2
METH__EXT1.18	DNA methylation	EXT1.18	2
METH__DBX1.11	DNA methylation	DBX1.11	2
METH__feature_122436	DNA methylation	feature_122436	2
METH__SALL3.22	DNA methylation	SALL3.22	2
METH__CD38.7	DNA methylation	CD38.7	2
METH__FOXK1.50	DNA methylation	FOXK1.50	2
METH__ELMO1.12	DNA methylation	ELMO1.12	2
METH__KLF13.3	DNA methylation	KLF13.3	2
METH__feature_302383	DNA methylation	feature_302383	2
METH__APBB1IP.13	DNA methylation	APBB1IP.13	2
METH__C20orf56.16	DNA methylation	C20orf56.16	2
METH__WNK2.4	DNA methylation	WNK2.4	2
METH__C1orf159.44	DNA methylation	C1orf159.44	2
METH__feature_64788	DNA methylation	feature_64788	2
METH__ADRB3.5	DNA methylation	ADRB3.5	2
METH__LRRC17;FBXL13.9	DNA methylation	LRRC17;FBXL13.9	2
METH__MED12.3	DNA methylation	MED12.3	2
METH__ONECUT1.11	DNA methylation	ONECUT1.11	2
METH__RADIL.37	DNA methylation	RADIL.37	2
METH__feature_17595	DNA methylation	feature_17595	2
METH__NKX1-2.5	DNA methylation	NKX1-2.5	2
METH__SLC25A43.6	DNA methylation	SLC25A43.6	2
METH__EPHA10.30	DNA methylation	EPHA10.30	2
METH__feature_38472	DNA methylation	feature_38472	2
METH__feature_161684	DNA methylation	feature_161684	2
METH__KALRN.45	DNA methylation	KALRN.45	2
METH__HOXB6;LOC404266.35	DNA methylation	HOXB6;LOC404266.35	2
METH__TAOK3.3	DNA methylation	TAOK3.3	2
METH__PGK1.10	DNA methylation	PGK1.10	2
METH__LOC349114.20	DNA methylation	LOC349114.20	2
METH__SOX2OT.38	DNA methylation	SOX2OT.38	2
METH__NKX6-2.35	DNA methylation	NKX6-2.35	2
METH__ZAR1.12	DNA methylation	ZAR1.12	2
METH__NELF.12	DNA methylation	NELF.12	2
METH__PTPRN2.46	DNA methylation	PTPRN2.46	2
METH__APBA2.4	DNA methylation	APBA2.4	2
METH__feature_202443	DNA methylation	feature_202443	2
METH__PTPRN2.879	DNA methylation	PTPRN2.879	2
METH__CACNA2D4.28	DNA methylation	CACNA2D4.28	2
METH__LHX4.10	DNA methylation	LHX4.10	2
METH__feature_281630	DNA methylation	feature_281630	2
METH__RBPMS.39	DNA methylation	RBPMS.39	2
METH__feature_353682	DNA methylation	feature_353682	2
METH__BHLHB9.15	DNA methylation	BHLHB9.15	2
METH__ATP8B3.24	DNA methylation	ATP8B3.24	2
METH__RADIL.49	DNA methylation	RADIL.49	2
METH__SYN1.9	DNA methylation	SYN1.9	2
METH__RBM10;NDUFB11.5	DNA methylation	RBM10;NDUFB11.5	2
METH__feature_19961	DNA methylation	feature_19961	2
METH__feature_284528	DNA methylation	feature_284528	2
METH__GATA2.3	DNA methylation	GATA2.3	2
METH__JDP2.1	DNA methylation	JDP2.1	2
METH__WT1;WIT1.8	DNA methylation	WT1;WIT1.8	2
METH__CCDC40.23	DNA methylation	CCDC40.23	2
METH__KNDC1.38	DNA methylation	KNDC1.38	2
METH__ADAMTS16.6	DNA methylation	ADAMTS16.6	2
METH__GNL3L.4	DNA methylation	GNL3L.4	2
METH__PAX5.28	DNA methylation	PAX5.28	2
METH__HCCS.7	DNA methylation	HCCS.7	2
METH__APC.25	DNA methylation	APC.25	2
METH__feature_16706	DNA methylation	feature_16706	2
METH__feature_207451	DNA methylation	feature_207451	2
METH__FCRL3.6	DNA methylation	FCRL3.6	2
METH__TNFAIP8L3.7	DNA methylation	TNFAIP8L3.7	2
METH__feature_270230	DNA methylation	feature_270230	2
METH__TMEM90A.5	DNA methylation	TMEM90A.5	2
METH__FOXF2.17	DNA methylation	FOXF2.17	2
METH__KIAA1751.2	DNA methylation	KIAA1751.2	2
METH__PRPH.11	DNA methylation	PRPH.11	2
METH__OTUD5	DNA methylation	OTUD5	2
METH__feature_363061	DNA methylation	feature_363061	2
METH__feature_61769	DNA methylation	feature_61769	2
METH__ERI3.19	DNA methylation	ERI3.19	2
METH__MAGEH1.5	DNA methylation	MAGEH1.5	2
METH__feature_122469	DNA methylation	feature_122469	2
METH__NPHS2.3	DNA methylation	NPHS2.3	2
METH__feature_178297	DNA methylation	feature_178297	2
METH__ZCCHC14.30	DNA methylation	ZCCHC14.30	2
METH__SRPK3.7	DNA methylation	SRPK3.7	2
METH__feature_198286	DNA methylation	feature_198286	2
METH__JPH3.88	DNA methylation	JPH3.88	2
METH__feature_251827	DNA methylation	feature_251827	2
METH__feature_317194	DNA methylation	feature_317194	2
METH__GPT.7	DNA methylation	GPT.7	2
METH__LRRC4;SND1.7	DNA methylation	LRRC4;SND1.7	2
METH__NR2E1.23	DNA methylation	NR2E1.23	2
METH__LRP5.47	DNA methylation	LRP5.47	2
METH__feature_227213	DNA methylation	feature_227213	2
METH__feature_256865	DNA methylation	feature_256865	2
METH__feature_247187	DNA methylation	feature_247187	2
METH__feature_199862	DNA methylation	feature_199862	2
METH__feature_262250	DNA methylation	feature_262250	2
METH__feature_365909	DNA methylation	feature_365909	2
METH__feature_354591	DNA methylation	feature_354591	2
METH__WIPI2.21	DNA methylation	WIPI2.21	2
METH__feature_168907	DNA methylation	feature_168907	2
METH__feature_4650	DNA methylation	feature_4650	2
METH__feature_7917	DNA methylation	feature_7917	2
METH__LAMC3.6	DNA methylation	LAMC3.6	2
METH__ADARB2.112	DNA methylation	ADARB2.112	2
METH__CDH6.16	DNA methylation	CDH6.16	2
METH__MAP7D3.13	DNA methylation	MAP7D3.13	2
METH__ITPRIP.20	DNA methylation	ITPRIP.20	2
METH__BHLHE23.8	DNA methylation	BHLHE23.8	2
METH__TNXB.192	DNA methylation	TNXB.192	2
METH__ZNF582.5	DNA methylation	ZNF582.5	2
METH__feature_87012	DNA methylation	feature_87012	2
METH__SNCA.7	DNA methylation	SNCA.7	2
METH__TECTA.12	DNA methylation	TECTA.12	2
METH__ZNF132.3	DNA methylation	ZNF132.3	2
METH__MEIS1.42	DNA methylation	MEIS1.42	2
METH__CLDN10.9	DNA methylation	CLDN10.9	2
METH__CRHR2	DNA methylation	CRHR2	2
METH__SCFD2.3	DNA methylation	SCFD2.3	2
METH__FGF12.19	DNA methylation	FGF12.19	2
METH__KCNB1.9	DNA methylation	KCNB1.9	2
METH__EVI2B;NF1	DNA methylation	EVI2B;NF1	2
METH__KCTD1.34	DNA methylation	KCTD1.34	2
METH__feature_152079	DNA methylation	feature_152079	2
METH__BRSK2.88	DNA methylation	BRSK2.88	2
METH__feature_291588	DNA methylation	feature_291588	2
METH__TTC28.12	DNA methylation	TTC28.12	2
METH__CYP26A1.16	DNA methylation	CYP26A1.16	2
METH__MST4.11	DNA methylation	MST4.11	2
METH__PRPS2.6	DNA methylation	PRPS2.6	2
METH__SFTA3.14	DNA methylation	SFTA3.14	2
METH__HIST1H2AA;HIST1H2BA.6	DNA methylation	HIST1H2AA;HIST1H2BA.6	2
METH__AZI1.14	DNA methylation	AZI1.14	2
METH__feature_159573	DNA methylation	feature_159573	2
METH__EDA.4	DNA methylation	EDA.4	2
METH__CXCL5.9	DNA methylation	CXCL5.9	2
METH__SKAP1.7	DNA methylation	SKAP1.7	2
METH__EPB41L3.5	DNA methylation	EPB41L3.5	2
METH__feature_132165	DNA methylation	feature_132165	2
METH__NLGN1.10	DNA methylation	NLGN1.10	2
METH__ISL1.1	DNA methylation	ISL1.1	2
METH__DSCAML1.32	DNA methylation	DSCAML1.32	2
METH__LMNB2;TIMM13.2	DNA methylation	LMNB2;TIMM13.2	2
METH__RPL36A.10	DNA methylation	RPL36A.10	2
METH__IGF2BP1.30	DNA methylation	IGF2BP1.30	2
METH__feature_311908	DNA methylation	feature_311908	2
METH__NGFRAP1.4	DNA methylation	NGFRAP1.4	2
METH__ISL2.19	DNA methylation	ISL2.19	2
METH__FAM3A.11	DNA methylation	FAM3A.11	2
METH__ZNF833.8	DNA methylation	ZNF833.8	2
METH__ZNF536.31	DNA methylation	ZNF536.31	2
METH__FLG2	DNA methylation	FLG2	2
METH__feature_93150	DNA methylation	feature_93150	2
METH__ANKRD30B.2	DNA methylation	ANKRD30B.2	2
METH__LBXCOR1.12	DNA methylation	LBXCOR1.12	2
METH__ANKRD58.7	DNA methylation	ANKRD58.7	2
METH__TBCD.7	DNA methylation	TBCD.7	2
METH__EPS8L1.13	DNA methylation	EPS8L1.13	2
METH__feature_26099	DNA methylation	feature_26099	2
METH__RUNX2.7	DNA methylation	RUNX2.7	2
METH__CCDC154.12	DNA methylation	CCDC154.12	2
METH__MAP7D3.7	DNA methylation	MAP7D3.7	2
METH__LMO2.5	DNA methylation	LMO2.5	2
METH__CCDC81.7	DNA methylation	CCDC81.7	2
METH__feature_116530	DNA methylation	feature_116530	2
METH__KLF14.8	DNA methylation	KLF14.8	2
METH__TLX1NB;TLX1.12	DNA methylation	TLX1NB;TLX1.12	2
METH__feature_102733	DNA methylation	feature_102733	2
METH__feature_169615	DNA methylation	feature_169615	2
METH__feature_185713	DNA methylation	feature_185713	2
METH__feature_135163	DNA methylation	feature_135163	2
METH__DYNC1I1.24	DNA methylation	DYNC1I1.24	2
METH__UCN3.5	DNA methylation	UCN3.5	2
METH__feature_3927	DNA methylation	feature_3927	2
METH__MAST1.11	DNA methylation	MAST1.11	2
METH__SYT3.12	DNA methylation	SYT3.12	2
METH__WBSCR17.4	DNA methylation	WBSCR17.4	2
METH__FOXI3.4	DNA methylation	FOXI3.4	2
METH__NKX2-3.9	DNA methylation	NKX2-3.9	2
METH__ASCL4.9	DNA methylation	ASCL4.9	2
METH__FAM50A.6	DNA methylation	FAM50A.6	2
METH__SFRS8.4	DNA methylation	SFRS8.4	2
METH__feature_178562	DNA methylation	feature_178562	2
METH__KIAA1949.12	DNA methylation	KIAA1949.12	2
METH__KBTBD11.18	DNA methylation	KBTBD11.18	2
METH__feature_332674	DNA methylation	feature_332674	2
METH__feature_255195	DNA methylation	feature_255195	2
METH__ALX1	DNA methylation	ALX1	2
METH__MPV17L.2	DNA methylation	MPV17L.2	2
METH__BEX4.1	DNA methylation	BEX4.1	2
METH__ZNF185	DNA methylation	ZNF185	2
METH__AGAP1.39	DNA methylation	AGAP1.39	2
METH__feature_322176	DNA methylation	feature_322176	2
METH__FAM43A.2	DNA methylation	FAM43A.2	2
METH__feature_206292	DNA methylation	feature_206292	2
METH__feature_342753	DNA methylation	feature_342753	2
METH__TPSD1.4	DNA methylation	TPSD1.4	2
METH__feature_165555	DNA methylation	feature_165555	2
METH__CACNA1C.74	DNA methylation	CACNA1C.74	2
METH__BGN.17	DNA methylation	BGN.17	2
METH__SLITRK2.19	DNA methylation	SLITRK2.19	2
METH__LRRC17;FBXL13.12	DNA methylation	LRRC17;FBXL13.12	2
METH__feature_326457	DNA methylation	feature_326457	2
METH__TWIST1.21	DNA methylation	TWIST1.21	2
METH__GRIA4	DNA methylation	GRIA4	2
METH__feature_82118	DNA methylation	feature_82118	2
METH__KCP.13	DNA methylation	KCP.13	2
METH__KCNH2.36	DNA methylation	KCNH2.36	2
METH__OPCML.1	DNA methylation	OPCML.1	2
METH__feature_103652	DNA methylation	feature_103652	2
METH__EMID2.16	DNA methylation	EMID2.16	2
METH__feature_78754	DNA methylation	feature_78754	2
METH__KCNQ5.7	DNA methylation	KCNQ5.7	2
METH__TTYH1.2	DNA methylation	TTYH1.2	2
METH__PPP1R3F.6	DNA methylation	PPP1R3F.6	2
METH__MUC1.9	DNA methylation	MUC1.9	2
METH__ALX1.4	DNA methylation	ALX1.4	2
METH__TACC1.13	DNA methylation	TACC1.13	2
METH__feature_22500	DNA methylation	feature_22500	2
METH__feature_104329	DNA methylation	feature_104329	2
METH__VSTM2A.16	DNA methylation	VSTM2A.16	2
METH__DUSP9.10	DNA methylation	DUSP9.10	2
METH__feature_121530	DNA methylation	feature_121530	2
METH__TNR.30	DNA methylation	TNR.30	2
METH__feature_46827	DNA methylation	feature_46827	2
METH__SCAMP4;ADAT3.14	DNA methylation	SCAMP4;ADAT3.14	2
METH__RBM38.21	DNA methylation	RBM38.21	2
METH__feature_168414	DNA methylation	feature_168414	2
METH__CNGB1.1	DNA methylation	CNGB1.1	2
METH__EMX1.10	DNA methylation	EMX1.10	2
METH__VGLL2.14	DNA methylation	VGLL2.14	2
METH__PCYT1B.12	DNA methylation	PCYT1B.12	2
METH__feature_251115	DNA methylation	feature_251115	2
METH__CABLES1.2	DNA methylation	CABLES1.2	2
METH__feature_321104	DNA methylation	feature_321104	2
METH__EXPH5.27	DNA methylation	EXPH5.27	2
METH__EPHB1.15	DNA methylation	EPHB1.15	2
METH__ZNF154	DNA methylation	ZNF154	2
METH__feature_196082	DNA methylation	feature_196082	2
METH__HOXC4.10	DNA methylation	HOXC4.10	2
METH__ZNF542.13	DNA methylation	ZNF542.13	2
METH__feature_224185	DNA methylation	feature_224185	2
METH__feature_228088	DNA methylation	feature_228088	2
METH__WNT16.6	DNA methylation	WNT16.6	2
METH__HDX.12	DNA methylation	HDX.12	2
METH__MECOM.49	DNA methylation	MECOM.49	2
METH__feature_48894	DNA methylation	feature_48894	2
METH__FAM104B.4	DNA methylation	FAM104B.4	2
METH__RASSF1.46	DNA methylation	RASSF1.46	2
METH__feature_151786	DNA methylation	feature_151786	2
METH__AJAP1.27	DNA methylation	AJAP1.27	2
METH__feature_200433	DNA methylation	feature_200433	2
METH__ISL2.17	DNA methylation	ISL2.17	2
METH__feature_96084	DNA methylation	feature_96084	2
METH__CARD14.14	DNA methylation	CARD14.14	2
METH__PRDX4.2	DNA methylation	PRDX4.2	2
METH__feature_292944	DNA methylation	feature_292944	2
METH__RBM38.2	DNA methylation	RBM38.2	2
METH__feature_376387	DNA methylation	feature_376387	2
METH__feature_70287	DNA methylation	feature_70287	2
METH__feature_312781	DNA methylation	feature_312781	2
METH__POU3F4.3	DNA methylation	POU3F4.3	2
METH__HMGB3.9	DNA methylation	HMGB3.9	2
METH__feature_149776	DNA methylation	feature_149776	2
METH__ALB.7	DNA methylation	ALB.7	2
METH__UBE2A	DNA methylation	UBE2A	2
METH__OXT.5	DNA methylation	OXT.5	2
METH__MACF1.26	DNA methylation	MACF1.26	2
METH__feature_358489	DNA methylation	feature_358489	2
METH__PARP15.7	DNA methylation	PARP15.7	2
METH__feature_113971	DNA methylation	feature_113971	2
METH__ZIC3.8	DNA methylation	ZIC3.8	2
METH__feature_213856	DNA methylation	feature_213856	2
METH__C20orf195.11	DNA methylation	C20orf195.11	2
METH__LY96.2	DNA methylation	LY96.2	2
METH__feature_139763	DNA methylation	feature_139763	2
METH__feature_56251	DNA methylation	feature_56251	2
METH__feature_209476	DNA methylation	feature_209476	2
METH__MUC5B.41	DNA methylation	MUC5B.41	2
METH__NADK.9	DNA methylation	NADK.9	2
METH__feature_71955	DNA methylation	feature_71955	2
METH__SNED1.17	DNA methylation	SNED1.17	2
METH__CCL28.3	DNA methylation	CCL28.3	2
METH__MDFI.1	DNA methylation	MDFI.1	2
METH__B3GNTL1.18	DNA methylation	B3GNTL1.18	2
METH__SPSB4.29	DNA methylation	SPSB4.29	2
METH__feature_180439	DNA methylation	feature_180439	2
METH__ONECUT1.20	DNA methylation	ONECUT1.20	2
METH__KIAA0556.18	DNA methylation	KIAA0556.18	2
METH__TCERG1L.30	DNA methylation	TCERG1L.30	2
METH__PRRT1.41	DNA methylation	PRRT1.41	2
METH__APC.21	DNA methylation	APC.21	2
METH__LOC286467.10	DNA methylation	LOC286467.10	2
METH__feature_289019	DNA methylation	feature_289019	2
METH__feature_362574	DNA methylation	feature_362574	2
METH__PTPRN2.865	DNA methylation	PTPRN2.865	2
METH__feature_307979	DNA methylation	feature_307979	2
METH__feature_84400	DNA methylation	feature_84400	2
METH__ATP6AP1.2	DNA methylation	ATP6AP1.2	2
METH__ZNF814.7	DNA methylation	ZNF814.7	2
METH__DIO3.4	DNA methylation	DIO3.4	2
METH__feature_133958	DNA methylation	feature_133958	2
METH__BBX.8	DNA methylation	BBX.8	2
METH__HOXC9.15	DNA methylation	HOXC9.15	2
METH__ATP11A.41	DNA methylation	ATP11A.41	2
METH__TTC7A.13	DNA methylation	TTC7A.13	2
METH__feature_103815	DNA methylation	feature_103815	2
METH__FOXK2.68	DNA methylation	FOXK2.68	2
METH__SOX2OT.48	DNA methylation	SOX2OT.48	2
METH__ABR	DNA methylation	ABR	2
METH__AMMECR1.7	DNA methylation	AMMECR1.7	2
METH__HLA-F.8	DNA methylation	HLA-F.8	2
METH__FARP1.51	DNA methylation	FARP1.51	2
METH__feature_181931	DNA methylation	feature_181931	2
METH__FLJ30058.29	DNA methylation	FLJ30058.29	2
METH__FOXI2.18	DNA methylation	FOXI2.18	2
METH__feature_59140	DNA methylation	feature_59140	2
METH__C14orf159.7	DNA methylation	C14orf159.7	2
METH__feature_88669	DNA methylation	feature_88669	2
METH__SOX3.2	DNA methylation	SOX3.2	2
METH__CUX1.95	DNA methylation	CUX1.95	2
METH__CCL11.4	DNA methylation	CCL11.4	2
METH__MECOM.42	DNA methylation	MECOM.42	2
METH__VSTM2B.10	DNA methylation	VSTM2B.10	2
METH__ZNRF2.6	DNA methylation	ZNRF2.6	2
METH__FHL1.19	DNA methylation	FHL1.19	2
METH__LMX1A.38	DNA methylation	LMX1A.38	2
METH__MPP1.1	DNA methylation	MPP1.1	2
METH__DLX6AS.20	DNA methylation	DLX6AS.20	2
METH__feature_307514	DNA methylation	feature_307514	2
METH__feature_153292	DNA methylation	feature_153292	2
METH__feature_265632	DNA methylation	feature_265632	2
METH__feature_334708	DNA methylation	feature_334708	2
METH__CUGBP2.11	DNA methylation	CUGBP2.11	2
METH__GFI1.37	DNA methylation	GFI1.37	2
METH__SORCS1.4	DNA methylation	SORCS1.4	2
METH__UPB1;C22orf45.11	DNA methylation	UPB1;C22orf45.11	2
METH__GAD2.15	DNA methylation	GAD2.15	2
METH__feature_158435	DNA methylation	feature_158435	2
METH__ENDOD1.11	DNA methylation	ENDOD1.11	2
METH__SIM1.16	DNA methylation	SIM1.16	2
METH__SLC38A4.11	DNA methylation	SLC38A4.11	2
METH__SGK1.8	DNA methylation	SGK1.8	2
METH__feature_281998	DNA methylation	feature_281998	2
METH__feature_221838	DNA methylation	feature_221838	2
METH__PFKP.13	DNA methylation	PFKP.13	2
METH__ICAM2.10	DNA methylation	ICAM2.10	2
METH__NTSR1.9	DNA methylation	NTSR1.9	2
METH__feature_104113	DNA methylation	feature_104113	2
METH__ADAMTS16.17	DNA methylation	ADAMTS16.17	2
METH__PITX2.32	DNA methylation	PITX2.32	2
METH__RASSF1.36	DNA methylation	RASSF1.36	2
METH__EBF3.107	DNA methylation	EBF3.107	2
METH__CASP8.17	DNA methylation	CASP8.17	2
METH__feature_357852	DNA methylation	feature_357852	2
METH__PTPRU.30	DNA methylation	PTPRU.30	2
METH__MRPL33.5	DNA methylation	MRPL33.5	2
METH__RNMTL1	DNA methylation	RNMTL1	2
METH__HMGB3.14	DNA methylation	HMGB3.14	2
METH__FLT3.1	DNA methylation	FLT3.1	2
METH__PTPRU.5	DNA methylation	PTPRU.5	2
METH__MIR663.3	DNA methylation	MIR663.3	2
METH__ARHGEF6.7	DNA methylation	ARHGEF6.7	2
METH__feature_389934	DNA methylation	feature_389934	2
METH__CETN2;NSDHL.12	DNA methylation	CETN2;NSDHL.12	2
METH__feature_174443	DNA methylation	feature_174443	2
METH__CCDC160.10	DNA methylation	CCDC160.10	2
METH__feature_193468	DNA methylation	feature_193468	2
METH__OTX2OS1.9	DNA methylation	OTX2OS1.9	2
METH__JAKMIP3.3	DNA methylation	JAKMIP3.3	2
METH__GPRASP1	DNA methylation	GPRASP1	2
METH__SMOC2.77	DNA methylation	SMOC2.77	2
METH__ADCY1.16	DNA methylation	ADCY1.16	2
METH__CCDC110.2	DNA methylation	CCDC110.2	2
METH__feature_300118	DNA methylation	feature_300118	2
METH__feature_68481	DNA methylation	feature_68481	2
METH__GNAL.40	DNA methylation	GNAL.40	2
METH__OBSCN.37	DNA methylation	OBSCN.37	2
