fused_feature	layer	original_feature	fold
mRNA__SFN	mRNA	SFN	1
mRNA__TGFBI	mRNA	TGFBI	1
mRNA__UBC	mRNA	UBC	1
mRNA__CP	mRNA	CP	1
mRNA__RPS16	mRNA	RPS16	1
mRNA__HSP90B1	mRNA	HSP90B1	1
mRNA__DCN	mRNA	DCN	1
mRNA__JUP	mRNA	JUP	1
mRNA__APLP2	mRNA	APLP2	1
mRNA__ATP1A1	mRNA	ATP1A1	1
mRNA__RPL4	mRNA	RPL4	1
mRNA__TAGLN2	mRNA	TAGLN2	1
mRNA__CTSH	mRNA	CTSH	1
mRNA__RPS8	mRNA	RPS8	1
mRNA__RPL19	mRNA	RPL19	1
mRNA__SPINK1	mRNA	SPINK1	1
mRNA__YWHAZ	mRNA	YWHAZ	1
mRNA__TUBB	mRNA	TUBB	1
mRNA__HSP90AA1	mRNA	HSP90AA1	1
mRNA__BGN	mRNA	BGN	1
mRNA__ATP1B1	mRNA	ATP1B1	1
mRNA__LTF	mRNA	LTF	1
mRNA__AKR1B10	mRNA	AKR1B10	1
mRNA__LDHA	mRNA	LDHA	1
mRNA__C20orf114	mRNA	C20orf114	1
mRNA__AKR1C3	mRNA	AKR1C3	1
mRNA__ALDH1A1	mRNA	ALDH1A1	1
mRNA__GPX3	mRNA	GPX3	1
mRNA__IGF2	mRNA	IGF2	1
mRNA__APP	mRNA	APP	1
mRNA__CTSE	mRNA	CTSE	1
mRNA__C4orf7	mRNA	C4orf7	1
mRNA__HLA-DRB1	mRNA	HLA-DRB1	1
mRNA__S100A11	mRNA	S100A11	1
mRNA__TXNIP	mRNA	TXNIP	1
mRNA__GLUL	mRNA	GLUL	1
mRNA__NPC2	mRNA	NPC2	1
mRNA__RPL37	mRNA	RPL37	1
mRNA__RPL5	mRNA	RPL5	1
mRNA__RPL13	mRNA	RPL13	1
mRNA__LCN2	mRNA	LCN2	1
mRNA__TIMP1	mRNA	TIMP1	1
mRNA__LDHB	mRNA	LDHB	1
mRNA__RPS14	mRNA	RPS14	1
mRNA__PI3	mRNA	PI3	1
mRNA__RPS20	mRNA	RPS20	1
mRNA__GSTP1	mRNA	GSTP1	1
mRNA__ITGA3	mRNA	ITGA3	1
mRNA__SCD	mRNA	SCD	1
mRNA__HLA-DPA1	mRNA	HLA-DPA1	1
mRNA__CCND1	mRNA	CCND1	1
mRNA__CYP2B7P1	mRNA	CYP2B7P1	1
mRNA__SCGB1A1	mRNA	SCGB1A1	1
mRNA__COL6A2	mRNA	COL6A2	1
mRNA__MMP11	mRNA	MMP11	1
mRNA__RPL13A	mRNA	RPL13A	1
mRNA__ASPH	mRNA	ASPH	1
mRNA__CD63	mRNA	CD63	1
mRNA__RPS24	mRNA	RPS24	1
mRNA__PLEC	mRNA	PLEC	1
mRNA__PRDX1	mRNA	PRDX1	1
mRNA__GNB2L1	mRNA	GNB2L1	1
mRNA__FASN	mRNA	FASN	1
mRNA__TP63	mRNA	TP63	1
mRNA__CALR	mRNA	CALR	1
mRNA__SPINT2	mRNA	SPINT2	1
mRNA__TUBA1B	mRNA	TUBA1B	1
mRNA__LAMB3	mRNA	LAMB3	1
mRNA__THBS1	mRNA	THBS1	1
mRNA__TACSTD2	mRNA	TACSTD2	1
mRNA__HSPA8	mRNA	HSPA8	1
mRNA__PGK1	mRNA	PGK1	1
mRNA__COL4A2	mRNA	COL4A2	1
mRNA__GPI	mRNA	GPI	1
mRNA__RPL28	mRNA	RPL28	1
mRNA__CBR1	mRNA	CBR1	1
mRNA__RPL27A	mRNA	RPL27A	1
mRNA__PCSK2	mRNA	PCSK2	1
mRNA__TIMP3	mRNA	TIMP3	1
mRNA__SQSTM1	mRNA	SQSTM1	1
mRNA__RPS5	mRNA	RPS5	1
mRNA__HSPA5	mRNA	HSPA5	1
mRNA__EPHX1	mRNA	EPHX1	1
mRNA__AEBP1	mRNA	AEBP1	1
mRNA__MYH11	mRNA	MYH11	1
mRNA__CD44	mRNA	CD44	1
mRNA__PLD3	mRNA	PLD3	1
mRNA__COL5A1	mRNA	COL5A1	1
mRNA__CALML3	mRNA	CALML3	1
mRNA__NQO1	mRNA	NQO1	1
mRNA__EIF4G1	mRNA	EIF4G1	1
mRNA__C4A	mRNA	C4A	1
mRNA__RPL35A	mRNA	RPL35A	1
mRNA__CHGB	mRNA	CHGB	1
mRNA__CHI3L1	mRNA	CHI3L1	1
mRNA__MMP2	mRNA	MMP2	1
mRNA__S100P	mRNA	S100P	1
mRNA__ITGB4	mRNA	ITGB4	1
mRNA__MET	mRNA	MET	1
mRNA__RPL41	mRNA	RPL41	1
mRNA__APOE	mRNA	APOE	1
mRNA__RPL27	mRNA	RPL27	1
mRNA__DHCR24	mRNA	DHCR24	1
mRNA__RPL31	mRNA	RPL31	1
mRNA__NTRK2	mRNA	NTRK2	1
mRNA__TGM2	mRNA	TGM2	1
mRNA__CD55	mRNA	CD55	1
mRNA__ICAM1	mRNA	ICAM1	1
mRNA__MYL6	mRNA	MYL6	1
mRNA__HP	mRNA	HP	1
mRNA__HOPX	mRNA	HOPX	1
mRNA__TPI1	mRNA	TPI1	1
