sample_id	PC1	PC2	PC3	subtype
TCGA-05-4384-01	-15.963607428936578	-39.28721695171298	-17.22801011819547	LUAD
TCGA-05-4396-01	-25.32175796498374	27.176228200153158	-74.15375025389544	LUAD
TCGA-05-4405-01	-69.53956190537046	39.977594521329515	-4.045172947128071	LUAD
TCGA-05-4410-01	-34.07412262118936	12.743882541316678	-20.971566097323254	LUAD
TCGA-05-4417-01	-54.87221715331605	4.040203695421768	-6.599043865606728	LUAD
TCGA-05-4427-01	-34.396303481363745	-1.4984903590017866	-54.36281258470533	LUAD
TCGA-05-5423-01	-34.277029807120726	-18.65111687182102	-17.39102713298052	LUAD
TCGA-05-5425-01	-6.692965899263308	-25.259689705427306	-23.479619533933043	LUAD
TCGA-05-5429-01	-23.395330860682694	20.733282034161096	-32.30970388751173	LUAD
TCGA-05-5715-01	-64.50771399054689	21.246940109301597	-7.401636489183862	LUAD
TCGA-35-5375-01	6.791833797124605	55.86759286045232	-22.857016842478505	LUAD
TCGA-38-6178-01	-56.44012581627094	2.155389858502138	2.510219246596183	LUAD
TCGA-38-A44F-01	-14.5147372627304	-16.67494657587977	20.806624851006415	LUAD
TCGA-44-2656-01	-43.47608001989558	34.78107238409949	-18.047837272802518	LUAD
TCGA-44-2665-01	-54.70564185134254	0.034046947671528174	21.38421520764587	LUAD
TCGA-44-2668-01	-30.396296598078237	10.430390849634643	2.8260435104429695	LUAD
TCGA-44-3918-01	-52.06038128350426	18.8002852382457	-2.377835314491355	LUAD
TCGA-44-4112-01	-54.61614480477107	22.67179425853808	-26.72793580129594	LUAD
TCGA-44-5643-01	53.528088967372454	4.635718768628539	3.2699769845292006	LUAD
TCGA-44-5644-01	-21.836277511387753	-6.367384977177563	-71.05708956115025	LUAD
TCGA-44-5645-01	-42.67994093634114	-39.97106191281958	27.913852409425044	LUAD
TCGA-44-6145-01	-40.17854892447747	-11.339439673140857	24.456367129963024	LUAD
TCGA-44-6146-01	-26.615396282964024	-12.845941388554012	-16.406251842217113	LUAD
TCGA-44-6148-01	0.19968557714489316	-45.26013187313143	17.05743510844856	LUAD
TCGA-44-6774-01	-31.18933820398291	-35.81553101858995	16.71411758199379	LUAD
TCGA-44-6775-01	-52.95635646083872	1.9477393584747542	12.166020360246895	LUAD
TCGA-44-6776-01	-47.68974980091778	-35.08851264174217	-8.517995337498613	LUAD
TCGA-44-6777-01	-49.8099209962502	-4.3511381317651265	18.387508430727568	LUAD
TCGA-44-6778-01	23.071027096865212	-61.122943900122465	-3.4950259041683034	LUAD
TCGA-44-6779-01	-43.68390980268342	20.762716296639823	7.383572157328064	LUAD
TCGA-44-7659-01	-54.584948694311876	46.56682364376793	-19.657993937910906	LUAD
TCGA-44-7660-01	57.918231192526655	-63.81918517140638	-17.34403726507238	LUAD
TCGA-44-7661-01	-37.75492955255924	-8.235728604535844	13.339756154361723	LUAD
TCGA-44-7662-01	-23.856328044259495	-14.526637667333533	-18.15233961779441	LUAD
TCGA-44-7667-01	-19.6066479026122	-28.30813116414301	-17.880309868721046	LUAD
TCGA-44-7669-01	19.68034616238801	-51.940951521286536	-24.452133783088605	LUAD
TCGA-44-7670-01	-24.767436429174293	14.46631281380641	2.196592033359402	LUAD
TCGA-44-7671-01	-22.12187810463345	-35.96240379993916	-38.74899663836754	LUAD
TCGA-44-7672-01	-51.0915927574105	11.928452276805482	14.265931146025293	LUAD
TCGA-44-8117-01	-80.22225234856985	55.07254146561624	-24.321517282346427	LUAD
TCGA-44-8119-01	29.454673761667372	-80.30515368334882	-56.263224198960316	LUAD
TCGA-44-A479-01	-23.21049237055441	-34.411407419585956	29.372527174120524	LUAD
TCGA-44-A47A-01	-75.77607137264825	47.20707737503322	-11.072974592246332	LUAD
TCGA-44-A47G-01	-50.36099489409769	9.894074936761308	27.274625006632697	LUAD
TCGA-44-A4SS-01	0.2985660729114939	-14.015351901258024	7.899392981715658	LUAD
TCGA-44-A4SU-01	-33.87736743120099	-22.091142597041713	1.0614912287157008	LUAD
TCGA-49-4487-01	-28.89619330846092	-15.594033400574082	27.583679076859845	LUAD
TCGA-49-4488-01	-57.13966479127477	7.412750644155868	-22.362794396597565	LUAD
TCGA-49-4512-01	-58.41148414742925	-8.390624800587215	23.88132503237339	LUAD
TCGA-49-4514-01	-24.533919292183917	-29.760273248446207	16.379077735121616	LUAD
TCGA-49-6742-01	32.02356177171134	-53.43950476352142	-19.772694423620617	LUAD
TCGA-49-6743-01	-17.62862042901387	-23.90605786701019	13.815952506598643	LUAD
TCGA-49-6744-01	-41.033602482095084	-16.601157277022228	23.13637279134622	LUAD
