batch_variable	batch_value	LUAD	LUSC	total	dominant_subtype	dominant_fraction	only_one_subtype
TISSUE_SOURCE_SITE	Cureline	1	3	4	LUSC	0.75	FALSE
TISSUE_SOURCE_SITE	Fox Chase Cancer Center	0	4	4	LUSC	1	TRUE
TISSUE_SOURCE_SITE	Gundersen Lutheran Health System	2	2	4	Mixed equal	0.5	FALSE
TISSUE_SOURCE_SITE	ILSBio	2	2	4	Mixed equal	0.5	FALSE
TISSUE_SOURCE_SITE	Ontario Institute for Cancer Research (OICR)/Ottawa	3	1	4	LUAD	0.75	FALSE
TISSUE_SOURCE_SITE	St Joseph's Medical Center (MD)	3	0	3	LUAD	1	TRUE
TISSUE_SOURCE_SITE	BLN - Baylor	2	0	2	LUAD	1	TRUE
TISSUE_SOURCE_SITE	Princess Margaret Hospital (Canada)	0	2	2	LUSC	1	TRUE
TISSUE_SOURCE_SITE	St. Joseph's Medical Center (MD)	0	2	2	LUSC	1	TRUE
TISSUE_SOURCE_SITE	UNC	2	0	2	LUAD	1	TRUE
TISSUE_SOURCE_SITE	Albert Einstein Medical Center	1	0	1	LUAD	1	TRUE
TISSUE_SOURCE_SITE	CHI-Penrose Colorado	1	0	1	LUAD	1	TRUE
TISSUE_SOURCE_SITE	Mary Bird Perkins Cancer Center - Our Lady of the Lake	1	0	1	LUAD	1	TRUE
TISSUE_SOURCE_SITE	University of Minnesota	0	1	1	LUSC	1	TRUE
