layer	component	feature	loading	abs_loading	selected	fold	model_label	integration	source
mRNA	1	DDR1	0.09750997672144962	0.09750997672144962	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CLSTN1	0.09727574267750631	0.09727574267750631	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT17	0.092405809119645	0.092405809119645	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GAPDH	0.08850555513862277	0.08850555513862277	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	C1orf116	-0.08596532531751877	0.08596532531751877	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TPI1	0.08458841719889966	0.08458841719889966	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GPI	0.0844831595274117	0.0844831595274117	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ABCC1	0.08287306137973346	0.08287306137973346	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	QSOX1.1	-0.08134775939191503	0.08134775939191503	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	NAPSA	-0.08126458865766988	0.08126458865766988	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TRAM1	-0.08080946323974135	0.08080946323974135	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	EIF4A2	0.07824083776450391	0.07824083776450391	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	RPL35A	0.07591560421828977	0.07591560421828977	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TFRC	0.07510354918178759	0.07510354918178759	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GPR116	-0.0707977750124269	0.0707977750124269	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GJA1	0.06934110282306337	0.06934110282306337	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD46	-0.06881497973924965	0.06881497973924965	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CEACAM6	-0.06827139489875172	0.06827139489875172	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CAPN2	-0.06413949034824959	0.06413949034824959	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	MALL	-0.061535411287892264	0.061535411287892264	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	NDRG1	0.061517961240253	0.061517961240253	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT15	0.06091764229961856	0.06091764229961856	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	FXYD3	0.058718259394645235	0.058718259394645235	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	AP2M1	0.05781200994807764	0.05781200994807764	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CSTA	0.05707751954301401	0.05707751954301401	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ITGB4	0.055882608256416354	0.055882608256416354	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GPRC5A	-0.055645517099403706	0.055645517099403706	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	HSPB1	0.05468976281951614	0.05468976281951614	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT19	0.05360958491928726	0.05360958491928726	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD44	0.05260233434080189	0.05260233434080189	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	LPCAT1	-0.04989412734226449	0.04989412734226449	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CTSD	-0.04907551132858271	0.04907551132858271	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT7	-0.04888386037897889	0.04888386037897889	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CLDN1	0.04720774846894914	0.04720774846894914	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	EPCAM	-0.041985667109103245	0.041985667109103245	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ATP5B	0.0401647241160658	0.0401647241160658	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TMBIM6	-0.038008426080072585	0.038008426080072585	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TUBB	0.036060916533884546	0.036060916533884546	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	NCL	0.03533896706064778	0.03533896706064778	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ICAM1	-0.03482261526740253	0.03482261526740253	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	RNASE1	-0.0322349014776808	0.0322349014776808	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	PTPRF	0.03218719499597642	0.03218719499597642	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD55	-0.031791434719259444	0.031791434719259444	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	NOTCH3	0.03170123483855527	0.03170123483855527	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SFTPB	-0.030720377651172852	0.030720377651172852	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	C8orf4	-0.029326944103847546	0.029326944103847546	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD74	-0.026441578382764563	0.026441578382764563	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	XBP1	-0.025671068751110762	0.025671068751110762	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TXNIP	-0.021185058280822212	0.021185058280822212	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	COL17A1	0.018880954886152213	0.018880954886152213	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	LGALS3BP	-0.015948019986179646	0.015948019986179646	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	APLP2	-0.014084267527030667	0.014084267527030667	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SLC7A5	0.013322890154183184	0.013322890154183184	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	RPS27A	0.013085683499526142	0.013085683499526142	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ERRFI1	-0.012522136528972867	0.012522136528972867	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	PKM2	0.011303310140786577	0.011303310140786577	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	A2M	-0.01123809777271384	0.01123809777271384	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	HLA-DPA1	-0.011033516398038106	0.011033516398038106	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	F11R	0.010061858796548027	0.010061858796548027	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT6C	0.0076307463395835756	0.0076307463395835756	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	HOPX	-0.006659069081156633	0.006659069081156633	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	HLA-DPB1	-0.005548009091689724	0.005548009091689724	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ABCA3	-0.0053507933307374396	0.0053507933307374396	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SDC4	-0.00445536871613139	0.00445536871613139	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT6B	0.0023509928855216544	0.0023509928855216544	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
