analysis	model_label	ROC_AUC	balanced_accuracy	macro_F1	F1_LUAD	F1_LUSC
Single-omics	DNA methylation + Random Forest	0.9977936355842453	0.9837107267133995	0.9839089593325199	0.985781990521327	0.9820359281437127
Single-omics	mRNA + Elastic Net	0.9895985677542992	0.9479108880931968	0.9497378618646	0.956386292834891	0.9430894308943089
Multi-omics early fusion	Early fusion + Elastic Net	0.9894724897876847	0.9562320338897574	0.958653160222571	0.9643410852713178	0.952965235173824
Single-omics	mRNA + Random Forest	0.9882999646981694	0.9526577235362348	0.9550577828506206	0.9612403100775193	0.9488752556237218
Single-omics	DNA methylation + Elastic Net	0.9844419789197639	0.9558222804982601	0.9586116938388836	0.964451313755796	0.9527720739219713
Single-omics	RPPA + Elastic Net	0.97453225074386	0.9347861717686217	0.9370808959908689	0.9457364341085271	0.9284253578732106
Single-omics	RPPA + Random Forest	0.9666902012204347	0.9009783650209289	0.904324515350549	0.9188361408882083	0.8898128898128898
