layer	component	feature	loading	abs_loading	selected	fold	model_label	integration
mRNA	2	VIM	-0.05509520610216453	0.05509520610216453	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	COL3A1	-0.04875690066688297	0.04875690066688297	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	KRT8	0.04521179084758265	0.04521179084758265	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	HLA-C	-0.045089739692180046	0.045089739692180046	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	CPS1	0.04350573132963906	0.04350573132963906	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	POSTN	-0.04282809197309876	0.04282809197309876	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	MSN	-0.040364307725802684	0.040364307725802684	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	PDIA4	0.03723238276326276	0.03723238276326276	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	SOD2	-0.030870697667733253	0.030870697667733253	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	CD44	-0.020115451193631662	0.020115451193631662	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	FURIN	0.016965767408352685	0.016965767408352685	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	FLNA	-0.01648819045956959	0.01648819045956959	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	HLA-DRB5	-0.013759773876767573	0.013759773876767573	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	MMP14	-0.003467394710042163	0.003467394710042163	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
mRNA	2	LYZ	-0.0028907123468940982	0.0028907123468940982	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ZHX2	-0.2028752271764897	0.2028752271764897	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_58817	-0.1986323656698528	0.1986323656698528	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TBCD.110	-0.1896351996851595	0.1896351996851595	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RTP1.8	-0.18563557557692623	0.18563557557692623	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	PRKAR1B.114	-0.17879097023382984	0.17879097023382984	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ZNF750;TBCD.17	-0.17731918915662015	0.17731918915662015	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_187008	-0.17250385383322042	0.17250385383322042	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	MIR205HG.2	-0.17190751393974346	0.17190751393974346	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TP73.68	-0.17157246704002635	0.17157246704002635	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ST18.16	-0.17082980341422266	0.17082980341422266	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RNMTL1.7	-0.1670414582917191	0.1670414582917191	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TP73.88	-0.16671733793703275	0.16671733793703275	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	SPSB1.35	-0.16316024542582314	0.16316024542582314	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	MYLK.1	-0.1557800735787304	0.1557800735787304	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	LIMA1.17	-0.15471284819807576	0.15471284819807576	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_362612	-0.15194361441965376	0.15194361441965376	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	MIR128-1;R3HDM1	-0.1474971811655451	0.1474971811655451	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CALML3.8	-0.14433973495292346	0.14433973495292346	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	C3orf34	-0.14307677330181234	0.14307677330181234	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_282548	0.13732088349768126	0.13732088349768126	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	KIF26B.13	-0.13600953203217656	0.13600953203217656	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ITPRIP.13	-0.13116194968477435	0.13116194968477435	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CUGBP2.12	-0.1294514933565118	0.1294514933565118	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TPM3;NUP210L	0.1275158734274266	0.1275158734274266	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CALML3.5	-0.12648064054898542	0.12648064054898542	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CSNK1D.5	0.12499175006331191	0.12499175006331191	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	KCNK7.1	-0.12389113892119329	0.12389113892119329	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_89067	-0.12127709785642914	0.12127709785642914	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_6911	-0.1195655005649419	0.1195655005649419	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_243982	-0.11865808861938235	0.11865808861938235	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_212134	0.11762661334192787	0.11762661334192787	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	DEAF1.18	0.1151681534658948	0.1151681534658948	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ZDHHC1.9	0.11327559157169126	0.11327559157169126	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TBCD.120	-0.11159601394200838	0.11159601394200838	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TRIP13.10	-0.10952803376427798	0.10952803376427798	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_107122	-0.1052930886178058	0.1052930886178058	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TRIP13.2	-0.10181082757683728	0.10181082757683728	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TRPS1.17	-0.09785421367391474	0.09785421367391474	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CHST12.14	0.09752038116780183	0.09752038116780183	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_312266	-0.09502420767915772	0.09502420767915772	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TRIP13.5	-0.09080618792417249	0.09080618792417249	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_344114	-0.08957457905991104	0.08957457905991104	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	ABCB1.2	-0.08689547307822887	0.08689547307822887	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_283127	-0.08626208524131551	0.08626208524131551	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	SEC14L1.13	-0.08610547741027821	0.08610547741027821	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RAB40C.27	0.0837242183936885	0.0837242183936885	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	NKX2-1.13	0.08158607576350316	0.08158607576350316	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_356923	-0.07835270852967895	0.07835270852967895	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	KCTD1.10	-0.0780565790324169	0.0780565790324169	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	AGAP1.169	-0.07591343032065995	0.07591343032065995	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_223637	-0.07467851501606115	0.07467851501606115	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	MIR205HG;MIR205.2	-0.07169348144862418	0.07169348144862418	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	NUP210L.3	0.070094239134859	0.070094239134859	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	TRIP13.9	-0.06946068845792715	0.06946068845792715	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	KIAA0513.10	-0.06839216110159797	0.06839216110159797	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_362935	-0.06737215362979879	0.06737215362979879	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_277469	0.06582091407921888	0.06582091407921888	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	CHST12.16	0.06388120578398121	0.06388120578398121	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	MAGI1.8	-0.062182714070209776	0.062182714070209776	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	FRMD6.23	-0.058169619013755336	0.058169619013755336	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RAB40C.22	0.05726155860994582	0.05726155860994582	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	PTPRN2.398	-0.05629507185328216	0.05629507185328216	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_67653	0.05574229063780612	0.05574229063780612	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	LRRC17;FBXL13.5	-0.05551121943741122	0.05551121943741122	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_176408	-0.05443031597495682	0.05443031597495682	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	C7orf20.43	-0.05105942777352741	0.05105942777352741	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	SLCO1A2.2	-0.04804552356059501	0.04804552356059501	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	RAPGEFL1.15	0.04567276299022598	0.04567276299022598	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	SLITRK3.22	-0.044388490078821834	0.044388490078821834	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	GLI2.72	0.04190729692074757	0.04190729692074757	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_210349	0.04031083325069249	0.04031083325069249	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	feature_148794	-0.04002161450743289	0.04002161450743289	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	1	KRT7.19	0.03942068577788194	0.03942068577788194	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
