model_label	model	integration	fold	n_features_used	lambda	ROC_AUC	accuracy	balanced_accuracy	F1_LUAD	F1_LUSC	macro_F1	sensitivity_LUSC	specificity_LUAD
Early fusion + Elastic Net	Elastic Net	Early fusion	1	8189	0.05043798718897563	0.9659926470588235	0.9304347826086956	0.9255514705882353	0.9393939393939394	0.9183673469387754	0.9288806431663574	0.8823529411764706	0.96875
Early fusion + Elastic Net	Elastic Net	Early fusion	2	8189	0.008432230325416913	0.9990476190476191	0.9823008849557522	0.98	0.9843749999999999	0.9795918367346939	0.9819834183673468	0.96	1
Early fusion + Elastic Net	Elastic Net	Early fusion	3	8189	0.008238199039916813	0.9838095238095238	0.9557522123893806	0.9541269841269842	0.9606299212598425	0.9494949494949495	0.955062435377396	0.94	0.9682539682539683
Early fusion + Elastic Net	Elastic Net	Early fusion	4	8189	0.019147810088384315	0.9933333333333333	0.9557522123893806	0.95	0.9618320610687023	0.9473684210526316	0.954600241060667	0.9	1
Early fusion + Elastic Net	Elastic Net	Early fusion	5	8189	0.008084760014986458	0.9955555555555555	0.9734513274336283	0.9720634920634921	0.9763779527559054	0.9696969696969697	0.9730374612264376	0.96	0.9841269841269841
