model_label	FPR	TPR
Early fusion + Elastic Net	0	0
Early fusion + Elastic Net	0	0.00398406374501992
Early fusion + Elastic Net	0	0.00796812749003984
Early fusion + Elastic Net	0	0.01195219123505976
Early fusion + Elastic Net	0	0.01593625498007968
Early fusion + Elastic Net	0	0.0199203187250996
Early fusion + Elastic Net	0	0.02390438247011952
Early fusion + Elastic Net	0	0.027888446215139442
Early fusion + Elastic Net	0	0.03187250996015936
Early fusion + Elastic Net	0	0.035856573705179286
Early fusion + Elastic Net	0	0.0398406374501992
Early fusion + Elastic Net	0	0.043824701195219126
Early fusion + Elastic Net	0	0.04780876494023904
Early fusion + Elastic Net	0	0.05179282868525897
Early fusion + Elastic Net	0	0.055776892430278883
Early fusion + Elastic Net	0	0.05976095617529881
Early fusion + Elastic Net	0	0.06374501992031872
Early fusion + Elastic Net	0	0.06772908366533864
Early fusion + Elastic Net	0	0.07171314741035857
Early fusion + Elastic Net	0	0.07569721115537849
Early fusion + Elastic Net	0	0.0796812749003984
Early fusion + Elastic Net	0	0.08366533864541832
Early fusion + Elastic Net	0	0.08764940239043825
Early fusion + Elastic Net	0	0.09163346613545817
Early fusion + Elastic Net	0	0.09561752988047809
Early fusion + Elastic Net	0	0.099601593625498
Early fusion + Elastic Net	0	0.10358565737051793
Early fusion + Elastic Net	0	0.10756972111553785
Early fusion + Elastic Net	0	0.11155378486055777
Early fusion + Elastic Net	0	0.11553784860557768
Early fusion + Elastic Net	0	0.11952191235059761
Early fusion + Elastic Net	0	0.12350597609561753
Early fusion + Elastic Net	0	0.12749003984063745
Early fusion + Elastic Net	0	0.13147410358565736
Early fusion + Elastic Net	0	0.13545816733067728
Early fusion + Elastic Net	0	0.1394422310756972
Early fusion + Elastic Net	0	0.14342629482071714
Early fusion + Elastic Net	0	0.14741035856573706
Early fusion + Elastic Net	0	0.15139442231075698
Early fusion + Elastic Net	0	0.1553784860557769
Early fusion + Elastic Net	0	0.1593625498007968
Early fusion + Elastic Net	0.0031645569620253333	0.1593625498007968
Early fusion + Elastic Net	0.0031645569620253333	0.16334661354581673
Early fusion + Elastic Net	0.0031645569620253333	0.16733067729083664
Early fusion + Elastic Net	0.0031645569620253333	0.17131474103585656
Early fusion + Elastic Net	0.0031645569620253333	0.1752988047808765
Early fusion + Elastic Net	0.0031645569620253333	0.17928286852589642
Early fusion + Elastic Net	0.0031645569620253333	0.18326693227091634
Early fusion + Elastic Net	0.0031645569620253333	0.18725099601593626
