layer	model	FPR	TPR
mRNA	Elastic Net	0	0
mRNA	Elastic Net	0	0.00398406374501992
mRNA	Elastic Net	0	0.00796812749003984
mRNA	Elastic Net	0	0.01195219123505976
mRNA	Elastic Net	0	0.01593625498007968
mRNA	Elastic Net	0	0.0199203187250996
mRNA	Elastic Net	0.0031645569620253333	0.0199203187250996
mRNA	Elastic Net	0.0031645569620253333	0.02390438247011952
mRNA	Elastic Net	0.0031645569620253333	0.027888446215139442
mRNA	Elastic Net	0.0031645569620253333	0.03187250996015936
mRNA	Elastic Net	0.0031645569620253333	0.035856573705179286
mRNA	Elastic Net	0.0031645569620253333	0.0398406374501992
mRNA	Elastic Net	0.0031645569620253333	0.043824701195219126
mRNA	Elastic Net	0.0031645569620253333	0.04780876494023904
mRNA	Elastic Net	0.0031645569620253333	0.05179282868525897
mRNA	Elastic Net	0.0031645569620253333	0.055776892430278883
mRNA	Elastic Net	0.0031645569620253333	0.05976095617529881
mRNA	Elastic Net	0.0031645569620253333	0.06374501992031872
mRNA	Elastic Net	0.0031645569620253333	0.06772908366533864
mRNA	Elastic Net	0.0031645569620253333	0.07171314741035857
mRNA	Elastic Net	0.0031645569620253333	0.07569721115537849
mRNA	Elastic Net	0.0031645569620253333	0.0796812749003984
mRNA	Elastic Net	0.0031645569620253333	0.08366533864541832
mRNA	Elastic Net	0.0031645569620253333	0.08764940239043825
mRNA	Elastic Net	0.0031645569620253333	0.09163346613545817
mRNA	Elastic Net	0.0031645569620253333	0.09561752988047809
mRNA	Elastic Net	0.0031645569620253333	0.099601593625498
mRNA	Elastic Net	0.0031645569620253333	0.10358565737051793
mRNA	Elastic Net	0.0031645569620253333	0.10756972111553785
mRNA	Elastic Net	0.0031645569620253333	0.11155378486055777
mRNA	Elastic Net	0.0031645569620253333	0.11553784860557768
mRNA	Elastic Net	0.0031645569620253333	0.11952191235059761
mRNA	Elastic Net	0.0031645569620253333	0.12350597609561753
mRNA	Elastic Net	0.0031645569620253333	0.12749003984063745
mRNA	Elastic Net	0.0031645569620253333	0.13147410358565736
mRNA	Elastic Net	0.0031645569620253333	0.13545816733067728
mRNA	Elastic Net	0.0031645569620253333	0.1394422310756972
mRNA	Elastic Net	0.0031645569620253333	0.14342629482071714
mRNA	Elastic Net	0.0031645569620253333	0.14741035856573706
mRNA	Elastic Net	0.0031645569620253333	0.15139442231075698
mRNA	Elastic Net	0.0031645569620253333	0.1553784860557769
mRNA	Elastic Net	0.0031645569620253333	0.1593625498007968
