layer	value
mRNA	245.25
mRNA	1355.56
mRNA	173.358
mRNA	0
mRNA	50.9973
mRNA	69.0579
mRNA	358.683
mRNA	3064.19
mRNA	0
mRNA	468.761
mRNA	44.8232
mRNA	434.652
mRNA	0
mRNA	53.733
mRNA	0
mRNA	1313.59
mRNA	0
mRNA	1068.61
mRNA	583.705
mRNA	20689.2
mRNA	6338.48
mRNA	4.176
mRNA	13.5536
mRNA	904.762
mRNA	100.659
mRNA	390.082
mRNA	0.9103
mRNA	389.809
mRNA	99.9832
mRNA	45.0213
mRNA	969.54
mRNA	4.2974
mRNA	8.9504
mRNA	986.905
mRNA	21.2072
mRNA	190.333
mRNA	20.5218
mRNA	0.2355
mRNA	0
mRNA	726.186
mRNA	75.4178
mRNA	85.5761
mRNA	232.309
mRNA	1858.75
mRNA	1566.43
mRNA	807.432
mRNA	1398.67
mRNA	103.563
mRNA	4790.2
mRNA	765.217
mRNA	8.8718
mRNA	1386.86
mRNA	1563.52
mRNA	0
mRNA	0
mRNA	2559.78
mRNA	296.61
mRNA	1220.79
mRNA	2096.38
mRNA	12.6422
mRNA	47.1032
mRNA	582.997
mRNA	0
mRNA	210.755
mRNA	904.8
mRNA	56.6694
mRNA	105.565
mRNA	6.4645
mRNA	254.489
mRNA	186.931
mRNA	0.3772
mRNA	412.137
mRNA	49.3436
mRNA	1666.68
mRNA	802.871000000001
mRNA	706.138
mRNA	798.652
mRNA	2141.27
mRNA	4.5761
mRNA	508.343
mRNA	1304.39
mRNA	6329
mRNA	1131.39
mRNA	2.6339
mRNA	18.4211
mRNA	453.733
mRNA	504.097
mRNA	97.6317
mRNA	0
mRNA	26966.1
mRNA	240.939
mRNA	246.379
mRNA	18.2069
mRNA	127.814
mRNA	51.174
mRNA	1552.36
mRNA	9.2635
mRNA	498.265
mRNA	1278.59
mRNA	172.95
mRNA	505.272
mRNA	189.063
mRNA	0
mRNA	3191.33
mRNA	0
mRNA	17.4717
mRNA	3234.47
mRNA	385.4
mRNA	269.678
mRNA	241.279
mRNA	17.758
mRNA	1580.16
mRNA	6.8767
mRNA	1230.34
mRNA	1026.16
mRNA	69.0966
mRNA	4110.44
mRNA	7.5055
mRNA	246.393
mRNA	666.853
mRNA	0.271
mRNA	0
mRNA	639.332
mRNA	87.5241
mRNA	9986.87999999999
mRNA	50.5209
mRNA	551.279
mRNA	1050.05
mRNA	50.3917
mRNA	302.54
mRNA	546.51
mRNA	0
mRNA	279.831
mRNA	766.027
mRNA	653.212
mRNA	720.497
mRNA	0
mRNA	0
mRNA	142.521
mRNA	1091.57
mRNA	310.993
mRNA	86.4893
mRNA	11.0055
mRNA	143.123
mRNA	1494.45
mRNA	22.5822
mRNA	4007.89
mRNA	11.2527
mRNA	1648.15
mRNA	1420.65
mRNA	8204.1
mRNA	872.861
mRNA	0.9238
mRNA	0
mRNA	1000.64
mRNA	1357.79
mRNA	2203.71
mRNA	573.718
mRNA	182.676
mRNA	2796.94
mRNA	397.16
mRNA	0
mRNA	7.015
mRNA	855.578
mRNA	364.594
mRNA	69.8677
mRNA	387.684
mRNA	64.2722
mRNA	0
mRNA	261.873
mRNA	106.093
mRNA	871.215
mRNA	1189.7
mRNA	0
mRNA	19.2308
mRNA	95.2983
mRNA	449.715
mRNA	547.739
mRNA	2.5947
mRNA	298.383
mRNA	1185.77
mRNA	1767.12
mRNA	725.462
mRNA	0.5574
mRNA	649.604
mRNA	2.9283
mRNA	113.24
mRNA	414.972
mRNA	240.244
mRNA	1.4531
mRNA	277.357
mRNA	96.2015
mRNA	1682.72
mRNA	608.259
mRNA	1.2165
mRNA	88.3167
mRNA	285.781
mRNA	1626.8
mRNA	457.238
mRNA	10.9222
mRNA	703.438
mRNA	2323.17
mRNA	300.054
mRNA	3620.28
mRNA	223.35
mRNA	459.132
mRNA	778.659
mRNA	6.3091
mRNA	587.974
mRNA	94.0751
mRNA	1878.87
mRNA	1237.03
mRNA	429.308
mRNA	0
mRNA	0
mRNA	363.055
mRNA	91.824700000000007
mRNA	4384.23
mRNA	17.1717
mRNA	0
mRNA	60.7029
mRNA	0
mRNA	564.44
mRNA	1021.66
mRNA	45.6621
mRNA	1779.43
mRNA	6921.11
mRNA	10.0428
mRNA	201.358
mRNA	1251.51
mRNA	1.4197
mRNA	71.9041
mRNA	0
mRNA	198.804
mRNA	2198.63
mRNA	798.711
mRNA	138.724
mRNA	583.628
mRNA	348.888
mRNA	14.5548
mRNA	1206.32
mRNA	809.205
mRNA	2036.5
mRNA	2270.89
mRNA	61.9831
mRNA	0
mRNA	7240.62
mRNA	27.6316
mRNA	833.345
mRNA	1076.16
mRNA	7.0773
mRNA	11.3683
mRNA	2.5628
mRNA	0
mRNA	3364.4
mRNA	96.8698
mRNA	1972.49
mRNA	1522.94
mRNA	0.6631
mRNA	1514.79
mRNA	891.416
mRNA	597.759
mRNA	544.921
mRNA	5808.68
mRNA	195.493
mRNA	37.2574
mRNA	7.3979
mRNA	1809.83
mRNA	1846.52
mRNA	1060.61
mRNA	1460.48
mRNA	352.235
mRNA	1514.97
mRNA	300.465
mRNA	101.073
mRNA	1065.13
mRNA	104.409
mRNA	63.857
mRNA	0
mRNA	3.0996
mRNA	423.161
mRNA	0.8551
