layer	PC	variance_explained	variance_explained_percent
mRNA	PC264	6.754077860194671e-4	0.068
mRNA	PC265	6.720657981691903e-4	0.067
mRNA	PC266	6.703184186788822e-4	0.067
mRNA	PC267	6.626653439290922e-4	0.066
mRNA	PC268	6.585869330123649e-4	0.066
mRNA	PC269	6.572637989797715e-4	0.066
mRNA	PC270	6.531009279568741e-4	0.065
mRNA	PC271	6.5026475766363e-4	0.065
mRNA	PC272	6.493970318550347e-4	0.065
mRNA	PC273	6.48265172853434e-4	0.065
mRNA	PC274	6.430208513436436e-4	0.064
mRNA	PC275	6.420728073878883e-4	0.064
mRNA	PC276	6.357225855302e-4	0.064
mRNA	PC277	6.332068005030572e-4	0.063
mRNA	PC278	6.318831227629987e-4	0.063
mRNA	PC279	6.289971768753591e-4	0.063
mRNA	PC280	6.249091155752871e-4	0.062
mRNA	PC281	6.218152674494647e-4	0.062
mRNA	PC282	6.202546770436968e-4	0.062
mRNA	PC283	6.14072962010213e-4	0.061
mRNA	PC284	6.111843168443607e-4	0.061
mRNA	PC285	6.109841993637303e-4	0.061
mRNA	PC286	6.083900175897238e-4	0.061
mRNA	PC287	6.053102628430082e-4	0.061
mRNA	PC288	6.028148319305169e-4	0.06
mRNA	PC289	5.989470524759562e-4	0.06
mRNA	PC290	5.933035082440955e-4	0.059
mRNA	PC291	5.917289864056795e-4	0.059
mRNA	PC292	5.896898103300292e-4	0.059
mRNA	PC293	5.86323440947261e-4	0.059
mRNA	PC294	5.807272477325789e-4	0.058
mRNA	PC295	5.761010584741888e-4	0.058
mRNA	PC296	5.733340746382753e-4	0.057
mRNA	PC297	5.723646086250019e-4	0.057
mRNA	PC298	5.708106753954625e-4	0.057
mRNA	PC299	5.697845827617051e-4	0.057
mRNA	PC300	5.670087111760318e-4	0.057
mRNA	PC301	5.617601928803277e-4	0.056
mRNA	PC302	5.602831777657176e-4	0.056
mRNA	PC303	5.582486930566347e-4	0.056
mRNA	PC304	5.515898050522457e-4	0.055
mRNA	PC305	5.513144246851835e-4	0.055
mRNA	PC306	5.482138937808098e-4	0.055
mRNA	PC307	5.451307267150863e-4	0.055
