layer	PC	PC_number	variance_explained	variance_explained_percent
DNA methylation	PC49	49	0.001955125520484742	0.196
DNA methylation	PC50	50	0.0019350918690855365	0.194
DNA methylation	PC51	51	0.0018712195340447621	0.187
DNA methylation	PC52	52	0.0018571374106814869	0.186
DNA methylation	PC53	53	0.0018477901071691837	0.185
DNA methylation	PC54	54	0.0018300524993512639	0.183
DNA methylation	PC55	55	0.001804167260978997	0.18
DNA methylation	PC56	56	0.001781224140101623	0.178
DNA methylation	PC57	57	0.0017637049527036975	0.176
DNA methylation	PC58	58	0.0017425530864850999	0.174
DNA methylation	PC59	59	0.0017227030744260557	0.172
DNA methylation	PC60	60	0.0017121037258310224	0.171
DNA methylation	PC61	61	0.001692088675965138	0.169
DNA methylation	PC62	62	0.0016752274591975863	0.168
DNA methylation	PC63	63	0.0016596553612869638	0.166
DNA methylation	PC64	64	0.0016453843006708304	0.165
DNA methylation	PC65	65	0.0016301255919496658	0.163
DNA methylation	PC66	66	0.0016229738316885357	0.162
DNA methylation	PC67	67	0.001611222793265454	0.161
DNA methylation	PC68	68	0.0015997303288211152	0.16
DNA methylation	PC69	69	0.0015862213510645577	0.159
DNA methylation	PC70	70	0.0015658088664274239	0.157
DNA methylation	PC71	71	0.0015366939580825326	0.154
DNA methylation	PC72	72	0.001532635798303514	0.153
DNA methylation	PC73	73	0.0015184716820723495	0.152
DNA methylation	PC74	74	0.0015071058575210205	0.151
DNA methylation	PC75	75	0.0015015409431718078	0.15
DNA methylation	PC76	76	0.0014973343712619644	0.15
DNA methylation	PC77	77	0.0014531329812287365	0.145
DNA methylation	PC78	78	0.001450089045606956	0.145
DNA methylation	PC79	79	0.0014436739313619018	0.144
DNA methylation	PC80	80	0.0014289840390051553	0.143
DNA methylation	PC81	81	0.0014148241523997064	0.141
DNA methylation	PC82	82	0.0014020609342910867	0.14
DNA methylation	PC83	83	0.0013960076305129837	0.14
DNA methylation	PC84	84	0.0013762259374459458	0.138
DNA methylation	PC85	85	0.0013639602569982822	0.136
DNA methylation	PC86	86	0.0013628568852098863	0.136
DNA methylation	PC87	87	0.0013437918032072136	0.134
DNA methylation	PC88	88	0.0013367150052275877	0.134
DNA methylation	PC89	89	0.0013335455973331536	0.133
DNA methylation	PC90	90	0.0013190574513226307	0.132
