layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
mRNA	1	NDRG1	4	0.06317457490773434	0.0588930791440256
mRNA	1	FXYD3	4	0.06145592297258247	0.06051771082328823
mRNA	1	KRT15	4	0.06086251157201774	0.06174115903633795
mRNA	1	MALL	4	0.0588756944890062	0.05692072587578527
mRNA	1	ITGB4	4	0.05855863133732802	0.059265209875031255
mRNA	1	CD44	4	0.05689758522143555	0.053762497650286345
mRNA	1	HSPB1	4	0.054549334359983805	0.052845893871692404
mRNA	1	GPRC5A	4	0.05260262054879807	0.05079032111041125
mRNA	1	KRT19	4	0.0520343176947967	0.05013669478696445
mRNA	1	KRT7	4	0.0506646624745975	0.045200520286514306
mRNA	1	CLDN1	4	0.05019544937393319	0.041021847300418274
mRNA	1	LPCAT1	4	0.048671463326414706	0.04226548870941365
mRNA	1	EPCAM	4	0.04676041553009701	0.049039275453263594
mRNA	1	CTSD	4	0.0451640775012086	0.046450960758056103
mRNA	1	TUBB	4	0.03823544638161044	0.034130159259504925
mRNA	1	ATP5B	4	0.035467614316235394	0.034672117558969665
mRNA	1	TMBIM6	4	0.03473502290466008	0.03599821291617171
mRNA	1	PTPRF	4	0.03366204040971207	0.03580911254140719
mRNA	1	NOTCH3	4	0.03340687841822889	0.03599672870472538
mRNA	1	NCL	4	0.03109303237275584	0.035687981353015444
mRNA	1	RNASE1	4	0.030173574477829798	0.03210429830852045
mRNA	1	CD55	4	0.029631309638392174	0.030264686803685187
mRNA	1	C8orf4	4	0.028629922999054258	0.03041065736156642
mRNA	1	SFTPB	4	0.02770417532986669	0.02931044027993805
mRNA	1	ICAM1	4	0.026656117868752643	0.02568865400354585
mRNA	1	XBP1	4	0.026166925396062402	0.0245651364179401
mRNA	1	CD74	4	0.02262665718551906	0.022314565257168295
mRNA	1	TXNIP	4	0.0217439176514503	0.017850613377082603
mRNA	1	PKM2	4	0.015501852757261386	0.010814574017662308
mRNA	1	ERRFI1	4	0.010473298770107577	0.009231740151598673
mRNA	1	HLA-DPA1	4	0.008693553391651466	0.008323020063251432
mRNA	1	TUBA1C	3	0.12309349156632335	0.12393859266343678
mRNA	1	MVP	3	0.10231527344344768	0.09834723717588179
mRNA	1	SGK1	3	0.09470913035268215	0.0893138874415712
mRNA	1	CAPN2	3	0.05873497952574648	0.05529294274614028
mRNA	1	GPR116	3	0.0576392221501319	0.058675197259157354
mRNA	1	COL17A1	3	0.025696015254511016	0.018495882540859737
mRNA	1	LGALS3BP	3	0.021454208958664216	0.02251957375021215
mRNA	1	S100A2	3	0.016751110625042115	0.004593575054128209
mRNA	1	F11R	3	0.014887113015950148	0.011057283815658087
mRNA	1	SLC7A5	3	0.013972918993119227	0.016023228635708372
mRNA	1	RPS27A	3	0.011142316546910468	0.009262902541080073
mRNA	1	A2M	3	0.010407416035221613	0.006791607057146743
mRNA	1	APLP2	3	0.010123243573269613	0.004369798356954738
mRNA	1	SPRR1B	3	0.007493407157366772	0.002338079753831346
mRNA	1	S100A11	3	0.004865596548296201	0.00437704142465836
mRNA	1	KRT6C	3	0.00357611427473542	0.0033451652879643023
mRNA	1	HLA-DPB1	3	0.002256022921947547	0.0029299174665819465
mRNA	1	JAG1	2	0.189309566596568	0.189309566596568
mRNA	1	CSTA	2	0.05117054834651072	0.05117054834651072
mRNA	1	HOPX	2	0.028887522680525576	0.028887522680525576
mRNA	1	SDC4	2	0.021368120435623368	0.021368120435623368
mRNA	1	KRT6B	2	0.018524207257154108	0.018524207257154108
mRNA	1	C16orf89	2	0.005777598835702035	0.005777598835702035
mRNA	1	ABCA3	2	0.005605318367653277	0.005605318367653277
mRNA	1	SDC1	2	0.004941185970207737	0.004941185970207737
mRNA	1	AGR2	2	0.004512543284560614	0.004512543284560614
mRNA	1	IGFBP2	2	0.0013262219738894754	0.0013262219738894754
mRNA	1	NFE2L2	1	0.12654398626845642	0.12654398626845642
mRNA	1	GOLM1	1	0.08567530841102237	0.08567530841102237
mRNA	1	STEAP4	1	0.0499198262325989	0.0499198262325989
mRNA	1	WFDC2	1	0.02173628236833073	0.02173628236833073
mRNA	1	CLDN4	1	0.016559973080931135	0.016559973080931135
mRNA	1	CXCL17	1	0.009954469896376836	0.009954469896376836
mRNA	1	SCNN1A	1	0.007802649177789635	0.007802649177789635
mRNA	1	YBX1	1	0.004224245590681576	0.004224245590681576
mRNA	1	KRT18	1	0.002834012181995084	0.002834012181995084
mRNA	2	CD74	5	0.4157841033320247	0.44927049535062547
mRNA	2	EPCAM	5	0.41128716001181714	0.4112835235514092
mRNA	2	HLA-DPB1	5	0.3846893881008812	0.4230447597857514
mRNA	2	HLA-DRA	5	0.3344315452460389	0.3490654613158369
mRNA	2	HLA-E	5	0.2948545177172325	0.31017446007934507
mRNA	2	HLA-DPA1	5	0.20950128419291383	0.21992241461374942
mRNA	2	B2M	5	0.19061211872884534	0.2431921690160493
mRNA	2	HLA-DRB1	5	0.14272761396560837	0.14375433597979628
mRNA	2	HMGB3	4	0.08887301023187995	0.07302647993554512
mRNA	2	HLA-B	3	0.15071718286991748	0.1622681115707363
mRNA	2	ADAM6	3	0.06472650122598429	0.05796982002044036
mRNA	2	LAPTM5	2	0.3556263193655044	0.3556263193655044
mRNA	2	IFI30	2	0.17173258009530368	0.17173258009530368
mRNA	2	HLA-DQA1	2	0.14882984705201702	0.14882984705201702
mRNA	2	C1S	2	0.13480944709683024	0.13480944709683024
mRNA	2	MMP2	2	0.12123045146034445	0.12123045146034445
mRNA	2	PSAP	2	0.10800447059785315	0.10800447059785315
mRNA	2	PDIA4	2	0.10795342462436944	0.10795342462436944
mRNA	2	CTSB	2	0.10142547084889228	0.10142547084889228
mRNA	2	SFRP2	2	0.07444925116015363	0.07444925116015363
mRNA	2	LAPTM4B	2	0.0673969142048525	0.0673969142048525
mRNA	2	COL6A2	2	0.0657591371523672	0.0657591371523672
mRNA	2	CPS1	2	0.044671009420354874	0.044671009420354874
mRNA	2	S100P	2	0.04288146005380586	0.04288146005380586
mRNA	2	HLA-DQB1	2	0.041473201318354275	0.041473201318354275
mRNA	2	MSN	2	0.021984980594999454	0.021984980594999454
mRNA	2	STAT1	1	0.15145538609964487	0.15145538609964487
mRNA	2	GOLM1	1	0.13235798019273814	0.13235798019273814
mRNA	2	WARS	1	0.12638071404460646	0.12638071404460646
mRNA	2	ATP1B1	1	0.11905913390717028	0.11905913390717028
mRNA	2	SCNN1A	1	0.10993962862535983	0.10993962862535983
mRNA	2	LGALS1	1	0.08891649246040245	0.08891649246040245
mRNA	2	APOE	1	0.08731538811080547	0.08731538811080547
mRNA	2	COL6A1	1	0.07162623945878507	0.07162623945878507
mRNA	2	MT2A	1	0.06579146876678237	0.06579146876678237
mRNA	2	BMS1P20	1	0.06413816745928533	0.06413816745928533
mRNA	2	COL6A3	1	0.062989159227167	0.062989159227167
mRNA	2	KRT18	1	0.061373884616810016	0.061373884616810016
mRNA	2	VIM	1	0.05509520610216453	0.05509520610216453
mRNA	2	COL3A1	1	0.04875690066688297	0.04875690066688297
mRNA	2	KRT8	1	0.04521179084758265	0.04521179084758265
mRNA	2	HLA-C	1	0.045089739692180046	0.045089739692180046
mRNA	2	POSTN	1	0.04282809197309876	0.04282809197309876
mRNA	2	SOD2	1	0.030870697667733253	0.030870697667733253
mRNA	2	CD44	1	0.020115451193631662	0.020115451193631662
mRNA	2	FURIN	1	0.016965767408352685	0.016965767408352685
mRNA	2	FLNA	1	0.01648819045956959	0.01648819045956959
mRNA	2	HLA-DRB5	1	0.013759773876767573	0.013759773876767573
mRNA	2	TXNRD1	1	0.00796966688809594	0.00796966688809594
mRNA	2	MMP14	1	0.003467394710042163	0.003467394710042163
mRNA	2	LYZ	1	0.0028907123468940982	0.0028907123468940982
